,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5,Predicción
337,"['level', 'hellenist', 'achiev', 'astronomi', 'engin', 'impress', 'shown', 'antikythera', 'mechan', '150', '–', '100', 'bce', '37', 'gear', 'mechan', 'comput', 'comput', 'motion', 'sun']",1,447.0,330.0,439.0,263.0,602.0,5
338,"['moon', 'includ', 'lunar', 'solar', 'eclips', 'predict', 'basi', 'astronom', 'period', 'believ', 'learn', 'babylonian', '26', 'devic', 'sort', 'known', 'engin', '10th', 'centuri', 'simpler']",1,863.0,1025.0,708.0,396.0,875.0,2
340,"['geomet', 'archimed', 'c', '287', '–', '212', 'bce', 'apolloniu', 'perga', 'c', '262', '–', 'c', '190', 'bce', 'euclid', 'c', '325', '–', '265']",1,993.0,653.0,770.0,439.0,1640.0,5
342,"['astronom', 'like', 'hipparchu', 'c', '190', '–', 'c', '120', 'bce', 'built', 'upon', 'measur', 'babylonian', 'astronom', 'measur', 'precess', 'earth', 'plini', 'report', 'hipparchu']",1,716.0,415.0,537.0,301.0,1010.0,5
343,"['produc', 'first', 'systemat', 'star', 'catalog', 'observ', 'new', 'star', 'uncertain', 'whether', 'nova', 'comet', 'wish', 'preserv', 'astronom', 'record', 'star', 'new', 'star', 'could']",1,823.0,720.0,1043.0,773.0,782.0,3
350,"['insect', 'within', 'amber', 'sampl', 'naturali', 'historia', 'divid', 'neatli', 'organ', 'world', 'plant', 'anim', 'realm', 'inorgan', 'matter', 'although', 'frequent', 'digress', 'section', 'especi']",1,399.0,401.0,396.0,466.0,608.0,4
351,"['interest', 'describ', 'occurr', 'plant', 'anim', 'insect', 'also', 'exploit', 'abus', 'man', 'descript', 'metal', 'miner', 'particularli', 'detail', 'valuabl', 'extens', 'compil', 'still', 'avail']",1,630.0,506.0,566.0,333.0,833.0,5
353,"['ptolemi', 'systemat', 'studi', 'astronomi', 'draw', 'work', 'predecessor', 'build', 'astronomi', 'upon', 'secur', 'empir', 'basi', 'demonstr', 'relationship', 'astronom', 'observ', 'result', 'astronom', 'theori']",1,689.0,754.0,734.0,441.0,503.0,3
364,"['readili', 'avail', 'sourc', 'power', 'ancient', 'human', 'power', 'anim', 'power', 'obviou', 'util', 'human', 'power', 'movement', 'object', 'object', 'rang', '20', '80', 'pound']",1,1235.0,942.0,847.0,1112.0,1881.0,5
366,"['avail', 'amount', 'grip', 'space', 'overcom', 'limit', 'factor', 'mechan', 'devic', 'develop', 'assist', 'manipul', 'object', 'one', 'devic', 'windlass', 'use', 'rope', 'pulley', 'manipul']",1,712.0,574.0,582.0,431.0,956.0,5
368,"['primari', 'usag', 'anim', 'power', 'transport', 'sever', 'speci', 'anim', 'use', 'differ', 'task', 'oxen', 'strong', 'creatur', 'requir', 'finest', 'pastur', 'strong', 'cheap', 'maintain']",1,869.0,639.0,598.0,604.0,1283.0,5
371,"['beyond', 'confin', 'land', 'schemat', 'ship', 'propel', 'anim', 'discov', 'work', 'known', 'anonymu', 'de', 'rebu', 'bellicu', 'describ', 'ship', 'power', 'oxen', 'wherein', 'oxen']",1,810.0,796.0,1109.0,594.0,621.0,3
372,"['attach', 'rotari', 'move', 'circl', 'deck', 'floor', 'spin', 'two', 'paddl', 'wheel', 'one', 'either', 'side', 'ship', 'likelihood', 'ship', 'ever', 'built', 'low', 'due']",1,642.0,579.0,728.0,515.0,511.0,3
379,"['push', 'steam', 'system', 'tube', 'toward', 'ball', 'devic', 'produc', 'roughli', '1500', 'rpm', 'would', 'never', 'practic', 'industri', 'scale', 'labour', 'requir', 'oper', 'fuel']",1,468.0,445.0,519.0,548.0,547.0,4
383,"['ideal', 'mine', 'stone', 'quarri', 'situat', 'close', 'site', 'construct', 'possibl', 'reduc', 'cost', 'transport', 'stone', 'block', 'form', 'quarri', 'punch', 'hole', 'line', 'desir']",1,528.0,323.0,342.0,344.0,1303.0,5
389,"['crane', 'use', 'construct', 'work', 'possibl', 'load', 'unload', 'ship', 'port', 'although', 'latter', 'use', 'accord', 'present', 'state', 'knowledg', 'still', 'evid', '6', 'crane']",1,1232.0,1119.0,1138.0,959.0,1801.0,5
391,"['design', 'pantheon', 'embed', '28', 'coffer', 'dome', 'perfect', 'number', 'number', 'factor', 'add', 'number', '28', 'consid', 'perfect', 'number', 'factor', '1', '2', '4']",1,525.0,525.0,545.0,569.0,905.0,5
396,"['evid', 'use', 'substanc', 'come', 'sag', 'structur', 'arch', 'construct', 'distinguish', 'featur', 'pozzalana', 'mortar', 'larg', 'amount', 'time', 'need', 'cure', 'engin', 'remov', 'decor']",1,895.0,712.0,673.0,472.0,1355.0,5
397,"['pozzalana', 'mortar', 'use', 'construct', 'hagia', 'sophia', 'contain', 'volcan', 'ash', 'instead', 'crush', 'brick', 'dust', 'composit', 'materi', 'use', 'pozzalana', 'mortar', 'lead', 'increas']",1,874.0,608.0,506.0,495.0,1218.0,5
400,"['typic', 'brick', 'mortar', 'structur', 'fact', 'wide', 'mortar', 'joint', 'suggest', 'design', 'hagia', 'sophia', 'knew', 'high', 'tensil', 'strength', 'mortar', 'incorpor', 'accordingli', '10']",1,390.0,261.0,235.0,236.0,560.0,5
409,"['effect', 'build', 'bridg', 'consid', 'cost', 'construct', 'mainten', 'bridg', 'higher', 'surfac', 'sub-surfac', 'elev', 'aqueduct', 'bridg', 'often', 'need', 'repair', 'spent', 'year', 'time']",1,743.0,655.0,678.0,494.0,1068.0,5
414,"['lanchest', 'longovicium', 'may', 'use', 'industrial-scal', 'smith', 'smelt', 'judg', 'pile', 'slag', 'found', 'site', 'northern', 'england', 'tank', 'hold', 'water', 'also', 'common', 'along']",1,1067.0,1042.0,909.0,590.0,1752.0,5
434,"['cart', 'also', 'contain', 'brake', 'elast', 'suspens', 'bear', 'elast', 'suspens', 'system', 'use', 'leather', 'belt', 'attach', 'bronz', 'support', 'suspend', 'carriag', 'axl', 'system']",1,869.0,777.0,677.0,675.0,1260.0,5
437,"['enter', 'minehead', 'site', 'dolaucothi', 'south', 'wale', 'fed', 'least', '5', 'leat', 'lead', 'reservoir', 'tank', 'cistern', 'high', 'present', 'opencast', 'water', 'use', 'hydraul']",1,656.0,520.0,530.0,405.0,1196.0,5
456,"['often', 'look', 'like', 'mount', 'crossbow', 'capabl', 'shoot', 'projectil', 'similarli', 'onag', 'name', 'wild', 'ass', '‘', 'kick', '’', 'larger', 'weapon', 'capabl', 'hurl']",1,381.0,366.0,293.0,285.0,498.0,5
459,"['type', 'motor', 'intern', 'motor', 'power', 'human', 'counterweight', 'motor', 'power', 'graviti', 'human-pow', 'motor', 'use', 'system', 'rope', 'connect', 'axl', 'capstan', 'calcul', 'least']",1,885.0,729.0,637.0,747.0,1348.0,5
477,"['claudiu', 'upon', 'hear', 'revolt', 'suetoniu', 'hurri', 'londinium', 'modern', 'london', '20', 'year-old', 'commerci', 'settlement', 'rebel', 'next', 'target', 'lack', 'suffici', 'number', 'defend']",1,461.0,403.0,482.0,350.0,625.0,5
480,"['boudica', 'known', 'sever', 'version', 'name', '16th', 'centuri', 'raphael', 'holinsh', 'call', 'voadicia', 'edmund', 'spenser', 'call', 'bunduca', 'variat', 'use', 'popular', 'jacobean', 'play']",1,1157.0,1258.0,921.0,570.0,974.0,2
481,"['bonduca', '1612', '11', '18th', 'centuri', 'william', ""cowper'"", 'poem', 'boadicea', 'ode', '1782', 'popularis', 'altern', 'version', 'name', '12', '19th', 'centuri', 'late', '20th']",1,773.0,1530.0,737.0,322.0,508.0,2
490,"['ostoriu', 'defeat', 'went', 'put', 'upris', 'around', 'britain', '20', 'iceni', 'remain', 'independ', 'prasutagu', 'unknown', 'whether', 'becam', 'king', ""ostorius'"", 'defeat', 'iceni', 'tacitu']",1,946.0,1091.0,954.0,831.0,548.0,2
492,"['icenian', 'king', 'prasutagu', 'celebr', 'long', 'prosper', 'name', 'emperor', 'heir', 'togeth', 'two', 'daughter', 'act', 'defer', 'thought', 'would', 'place', 'kingdom', 'household', 'beyond']",1,1085.0,1312.0,1242.0,687.0,564.0,3
495,"['anoth', 'reason', 'fact', 'seneca', 'hope', 'receiv', 'good', 'rate', 'interest', 'lent', 'island', '40,000', '000', 'sesterc', 'want', 'afterward', 'call', 'loan', 'resort', 'sever']",1,550.0,556.0,794.0,682.0,1077.0,5
508,"['alarm', 'disast', 'furi', 'provinc', 'goad', 'war', 'rapac', 'procur', 'catu', 'cross', 'gaul', 'suetoniu', 'howev', 'wonder', 'resolut', 'march', 'amidst', 'hostil', 'popul', 'londinium']",1,716.0,561.0,631.0,1093.0,428.0,4
509,"['though', 'undistinguish', 'name', 'coloni', 'much', 'frequent', 'number', 'merchant', 'trade', 'vessel', 'uncertain', 'whether', 'choos', 'seat', 'war', 'look', 'round', 'scanti', 'forc', 'soldier']",1,957.0,912.0,1133.0,1475.0,485.0,4
511,"['londinium', 'abandon', 'rebel', 'burnt', 'tortur', 'kill', 'anyon', 'evacu', 'suetoniu', 'archaeolog', 'show', 'thick', 'red', 'layer', 'burnt', 'debri', 'cover', 'coin', 'potteri', 'date']",1,406.0,203.0,177.0,156.0,696.0,5
513,"['municipium', 'verulamium', 'modern', 'st', 'alban', 'next', 'destroy', 'archeolog', 'evid', 'event', 'limit', 'major', 'excav', 'mortim', 'wheeler', 'wife', 'tessa', 'earli', '1930', 'found']",1,605.0,576.0,527.0,452.0,1413.0,5
517,"[""boudica'"", 'armi', 'continu', 'assault', 'verulamium', 'st', 'alban', 'suetoniu', 'regroup', 'forc', 'accord', 'tacitu', 'amass', 'forc', 'includ', 'legio', 'xiv', 'gemina', 'vexillation', 'detach']",1,849.0,842.0,751.0,1191.0,378.0,4
520,"['dio', 'say', 'even', 'line', 'one', 'deep', 'would', 'extend', 'length', ""boudica'"", 'line', 'rebel', 'forc', 'said', 'number', '230,000', '–', '300,000', 'howev', 'number']",1,1422.0,1311.0,1565.0,1647.0,2240.0,5
523,"['first', 'legionari', 'stood', 'motionless', 'keep', 'defil', 'natur', 'protect', 'closer', 'advanc', 'enemi', 'enabl', 'exhaust', 'missil', 'certitud', 'aim', 'dash', 'forward', 'wedge-lik', 'format']",1,406.0,381.0,539.0,413.0,391.0,3
537,"['one', 'earliest', 'possibl', 'mention', 'boudica', 'exclud', 'tacitu', ""dio'"", 'account', '6th', 'centuri', 'work', 'ruin', 'conquest', 'britain', 'british', 'monk', 'gilda', 'demonstr', 'knowledg']",1,947.0,1056.0,812.0,587.0,706.0,2
540,"['reign', 'elizabeth', 'boudica', 'began', 'seen', 'import', 'figur', 'british', 'histori', '55', 'reign', 'queen', 'elizabeth', 'work', 'tacitu', 'rediscov', 'therefor', 'interest', 'boudica', 'rebellion']",1,741.0,661.0,1241.0,534.0,417.0,3
541,"['trigger', 'said', 'elizabethan', 'era', 'time', 'popular', 'could', 'flourish', 'elizabeth', '1588', 'requir', 'defend', 'britain', 'possibl', 'invas', 'spanish', 'armada', 'boudica', 'defend', 'britain']",1,661.0,609.0,1127.0,753.0,625.0,3
543,"['version', 'play', 'call', 'bonduca', 'british', 'heroin', 'set', 'music', 'henri', 'purcel', '1695', 'one', 'chorus', 'briton', 'strike', 'home', 'becam', 'popular', 'patriot', 'song']",1,614.0,695.0,870.0,692.0,402.0,3
546,"['execut', 'thoma', 'thornycroft', '1850', '1860', 'encourag', 'princ', 'albert', 'lent', 'hors', 'use', 'model', '59', 'thornycroft', 'exhibit', 'head', 'separ', '1864', 'cast', 'bronz']",1,562.0,429.0,503.0,328.0,849.0,5
547,"['1902', '17', 'year', ""thornycroft'"", 'death', 'son', 'sir', 'john', 'present', 'london', 'counti', 'council', 'erect', 'plinth', 'victoria', 'embank', 'next', 'westminst', 'bridg', 'hous']",1,516.0,686.0,743.0,382.0,729.0,3
550,"['61', 'tradit', 'support', 'histor', 'evid', 'reject', 'modern', 'historian', 'howev', 'lewi', ""spence'"", '1937', 'book', 'boadicea', '–', 'warrior', 'queen', 'briton', 'went', 'far']",1,847.0,864.0,1004.0,674.0,1322.0,3
