,Texto,Longitud,Clase
56,"['quickli', 'though', 'advis', 'use', 'diplomaci', 'alexand', 'muster', '3,000', 'macedonian', 'cavalri', 'rode', 'south', 'toward', 'thessali', 'found', 'thessalian', 'armi', 'occupi', 'pass', 'mount']",20,1
57,"['olympu', 'mount', 'ossa', 'order', 'men', 'ride', 'mount', 'ossa', 'thessalian', 'awok', 'next', 'day', 'found', 'alexand', 'rear', 'promptli', 'surrend', 'ad', 'cavalri', ""alexander'""]",20,1
58,"['alexand', 'stop', 'thermopyla', 'recogn', 'leader', 'amphictyon', 'leagu', 'head', 'south', 'corinth', 'athen', 'su', 'peac', 'alexand', 'pardon', 'rebel', 'famou', 'encount', 'alexand', 'diogen']",20,1
59,"['cynic', 'occur', ""alexander'"", 'stay', 'corinth', 'alexand', 'ask', 'diogen', 'could', 'philosoph', 'disdain', 'ask', 'alexand', 'stand', 'littl', 'side', 'block', 'sunlight', '52', 'repli']",20,1
60,"['appar', 'delight', 'alexand', 'report', 'said', 'verili', 'alexand', 'would', 'like', 'diogen', '53', 'corinth', 'alexand', 'took', 'titl', 'hegemon', 'leader', 'like', 'philip', 'appoint']",20,1
61,"['cross', 'asia', 'alexand', 'want', 'safeguard', 'northern', 'border', 'spring', '335', 'bc', 'advanc', 'suppress', 'sever', 'revolt', 'start', 'amphipoli', 'travel', 'east', 'countri', 'independ']",20,1
62,"['thracian', 'mount', 'haemu', 'macedonian', 'armi', 'attack', 'defeat', 'thracian', 'forc', 'man', 'height', '55', 'macedonian', 'march', 'countri', 'tribal', 'defeat', 'armi', 'near', 'lyginu']",20,1
63,"['river', '56', 'tributari', 'danub', 'alexand', 'march', 'three', 'day', 'danub', 'encount', 'geta', 'tribe', 'opposit', 'shore', 'cross', 'river', 'night', 'surpris', 'forc', 'armi']",20,1
64,"['news', 'reach', 'alexand', 'cleitu', 'king', 'illyria', 'king', 'glaukia', 'taulantii', 'open', 'revolt', 'author', 'march', 'west', 'illyria', 'alexand', 'defeat', 'turn', 'forc', 'two']",20,1
65,"['alexand', 'campaign', 'north', 'theban', 'athenian', 'rebel', 'alexand', 'immedi', 'head', 'south', '59', 'citi', 'hesit', 'thebe', 'decid', 'fight', 'theban', 'resist', 'ineffect', 'alexand']",20,1
66,"['raze', 'citi', 'divid', 'territori', 'boeotian', 'citi', 'end', 'thebe', 'cow', 'athen', 'leav', 'greec', 'temporarili', 'peac', '59', 'alexand', 'set', 'asian', 'campaign', 'leav']",20,1
67,"['accord', 'ancient', 'writer', 'demosthen', 'call', 'alexand', 'margit', 'greek', 'μαργίτης', '61', '62', '63', 'boy', '63', 'greek', 'use', 'word', 'margit', 'describ', 'fool']",20,1
68,"['336', 'bc', 'philip', 'ii', 'alreadi', 'sent', 'parmenion', 'amynta', 'andromen', 'attalu', 'armi', '10,000', 'men', 'anatolia', 'make', 'prepar', 'invas', 'free', 'greek', 'live']",20,1
69,"['western', 'coast', 'island', 'achaemenid', 'rule', '65', '66', 'first', 'went', 'well', 'greek', 'citi', 'western', 'coast', 'anatolia', 'revolt', 'news', 'arriv', 'philip', 'murder']",20,1
70,"['take', 'invas', 'project', 'philip', 'ii', ""alexander'"", 'armi', 'cross', 'hellespont', '334', 'bc', 'approxim', '48,100', 'soldier', '6,100', 'cavalri', 'fleet', '120', 'ship', 'crew']",20,1
71,"['number', '38,000', '59', 'drawn', 'macedon', 'variou', 'greek', 'city-st', 'mercenari', 'feudal', 'rais', 'soldier', 'thrace', 'paionia', 'illyria', '67', 'f', 'show', 'intent', 'conquer']",20,1
72,"['entireti', 'persian', 'empir', 'throw', 'spear', 'asian', 'soil', 'say', 'accept', 'asia', 'gift', 'god', 'also', 'show', ""alexander'"", 'eager', 'fight', 'contrast', ""father'"", 'prefer']",20,1
73,"['initi', 'victori', 'persian', 'forc', 'battl', 'granicu', 'alexand', 'accept', 'surrend', 'persian', 'provinci', 'capit', 'treasuri', 'sardi', 'proceed', 'along', 'ionian', 'coast', 'grant', 'autonomi']",20,1
74,"['democraci', 'citi', 'miletu', 'held', 'achaemenid', 'forc', 'requir', 'delic', 'sieg', 'oper', 'persian', 'naval', 'forc', 'nearbi', 'south', 'halicarnassu', 'caria', 'alexand', 'success', 'wage']",20,1
75,"['first', 'large-scal', 'sieg', 'eventu', 'forc', 'oppon', 'mercenari', 'captain', 'memnon', 'rhode', 'persian', 'satrap', 'caria', 'orontob', 'withdraw', 'sea', '68', 'alexand', 'left', 'govern']",20,1
76,"['halicarnassu', 'alexand', 'proceed', 'mountain', 'lycia', 'pamphylian', 'plain', 'assert', 'control', 'coastal', 'citi', 'deni', 'persian', 'naval', 'base', 'pamphylia', 'onward', 'coast', 'held', 'major']",20,1
77,"['port', 'alexand', 'move', 'inland', 'termesso', 'alexand', 'humbl', 'storm', 'pisidian', 'citi', '70', 'ancient', 'phrygian', 'capit', 'gordium', 'alexand', 'undid', 'hitherto', 'unsolv', 'gordian']",20,1
78,"['alexand', 'destroy', 'tyre', 'town', 'rout', 'egypt', 'quickli', 'capitul', 'howev', 'alexand', 'met', 'resist', 'gaza', 'stronghold', 'heavili', 'fortifi', 'built', 'hill', 'requir', 'sieg']",20,1
79,"['engin', 'point', 'height', 'mound', 'would', 'imposs', '...', 'encourag', 'alexand', 'make', 'attempt', '78', 'three', 'unsuccess', 'assault', 'stronghold', 'fell', 'alexand', 'receiv', 'seriou']",20,1
80,"['alexand', 'advanc', 'egypt', 'later', '332', 'bc', 'regard', 'liber', '[8', '0', 'pronounc', 'son', 'deiti', 'amun', 'oracl', 'siwa', 'oasi', 'libyan', 'desert', '[8']",20,1
81,"['1', 'henceforth', 'alexand', 'often', 'refer', 'zeus-ammon', 'true', 'father', 'death', 'currenc', 'depict', 'adorn', 'horn', 'ammon', 'symbol', 'divin', '[8', '2', 'stay', 'egypt']",20,1
82,"['leav', 'egypt', '331', 'bce', 'alexand', 'march', 'eastward', 'achaemenid', 'assyria', 'upper', 'mesopotamia', 'northern', 'iraq', 'defeat', 'dariu', 'battl', 'gaugamela', '[8', '4', 'dariu']",20,1
83,"['fled', 'field', 'alexand', 'chase', 'far', 'arbela', 'gaugamela', 'would', 'final', 'decis', 'encount', 'two', '[8', '5', 'dariu', 'fled', 'mountain', 'ecbatana', 'modern', 'hamadan']",20,1
84,"['babylon', 'alexand', 'went', 'susa', 'one', 'achaemenid', 'capit', 'captur', 'treasuri', '[8', '6', 'sent', 'bulk', 'armi', 'persian', 'ceremoni', 'capit', 'persepoli', 'via', 'persian']",20,1
85,"['royal', 'road', 'alexand', 'took', 'select', 'troop', 'direct', 'rout', 'citi', 'storm', 'pass', 'persian', 'gate', 'modern', 'zagro', 'mountain', 'block', 'persian', 'armi', 'ariobarzan']",20,1
86,"['alexand', 'chase', 'dariu', 'first', 'media', 'parthia', '96', 'persian', 'king', 'longer', 'control', 'destini', 'taken', 'prison', 'bessu', 'bactrian', 'satrap', 'kinsman', '97', 'alexand']",20,1
87,"['approach', 'bessu', 'men', 'fatal', 'stab', 'great', 'king', 'declar', 'dariu', 'successor', 'artaxerx', 'v', 'retreat', 'central', 'asia', 'launch', 'guerrilla', 'campaign', 'alexand', '98']",20,1
88,"['alexand', 'buri', 'dariu', 'remain', 'next', 'achaemenid', 'predecessor', 'regal', 'funer', '99', 'claim', 'die', 'dariu', 'name', 'successor', 'achaemenid', 'throne', '100', 'achaemenid', 'empir']",20,1
89,"['alexand', 'view', 'bessu', 'usurp', 'set', 'defeat', 'campaign', 'initi', 'bessu', 'turn', 'grand', 'tour', 'central', 'asia', 'alexand', 'found', 'seri', 'new', 'citi', 'call']",20,1
90,"['alexandria', 'includ', 'modern', 'kandahar', 'afghanistan', 'alexandria', 'eschat', 'furthest', 'modern', 'tajikistan', 'campaign', 'took', 'alexand', 'media', 'parthia', 'aria', 'west', 'afghanistan', 'drangiana', 'arachosia']",20,1
91,"['329', 'bc', 'spitamen', 'held', 'undefin', 'posit', 'satrapi', 'sogdiana', 'betray', 'bessu', 'ptolemi', 'one', ""alexander'"", 'trust', 'companion', 'bessu', 'execut', '103', 'howev', 'point']",20,1
92,"['later', 'alexand', 'jaxart', 'deal', 'incurs', 'hors', 'nomad', 'armi', 'spitamen', 'rais', 'sogdiana', 'revolt', 'alexand', 'person', 'defeat', 'scythian', 'battl', 'jaxart', 'immedi', 'launch']",20,1
93,"['time', 'alexand', 'adopt', 'element', 'persian', 'dress', 'custom', 'court', 'notabl', 'custom', 'proskynesi', 'either', 'symbol', 'kiss', 'hand', 'prostrat', 'ground', 'persian', 'show', 'social']",20,1
94,"['plot', 'life', 'reveal', 'one', 'offic', 'philota', 'execut', 'fail', 'alert', 'alexand', 'death', 'son', 'necessit', 'death', 'father', 'thu', 'parmenion', 'charg', 'guard', 'treasuri']",20,1
95,"['ecbatana', 'assassin', ""alexander'"", 'command', 'prevent', 'attempt', 'vengeanc', 'infam', 'alexand', 'person', 'kill', 'man', 'save', 'life', 'granicu', 'cleitu', 'black', 'violent', 'drunken', 'alterc']",20,1
96,"['maracanda', 'modern', 'day', 'samarkand', 'uzbekistan', 'cleitu', 'accus', 'alexand', 'sever', 'judgment', 'mistak', 'especi', 'forgotten', 'macedonian', 'way', 'favour', 'corrupt', 'orient', 'lifestyl', '107']",20,1
97,"['later', 'central', 'asian', 'campaign', 'second', 'plot', 'life', 'reveal', 'one', 'instig', 'royal', 'page', 'offici', 'historian', 'callisthen', 'olynthu', 'implic', 'plot', 'anabasi', 'alexand']",20,1
98,"['arrian', 'state', 'callisthen', 'page', 'tortur', 'rack', 'punish', 'like', 'die', 'soon', '108', 'remain', 'unclear', 'callisthen', 'actual', 'involv', 'plot', 'prior', 'accus', 'fallen']",20,1
99,"['alexand', 'set', 'asia', 'left', 'gener', 'antipat', 'experienc', 'militari', 'polit', 'leader', 'part', 'philip', ""ii'"", 'old', 'guard', 'charg', 'macedon', '60', ""alexander'"", 'sack']",20,1
100,"['thebe', 'ensur', 'greec', 'remain', 'quiet', 'absenc', '60', 'one', 'except', 'call', 'arm', 'spartan', 'king', 'agi', 'iii', '331', 'bc', 'antipat', 'defeat', 'kill']",20,1
101,"['battl', 'megalopoli', '60', 'antipat', 'refer', 'spartan', 'punish', 'leagu', 'corinth', 'defer', 'alexand', 'chose', 'pardon', '110', 'also', 'consider', 'friction', 'antipat', 'olympia', 'complain']",20,1
102,"['gener', 'greec', 'enjoy', 'period', 'peac', 'prosper', ""alexander'"", 'campaign', 'asia', '112', 'alexand', 'sent', 'back', 'vast', 'sum', 'conquest', 'stimul', 'economi', 'increas', 'trade']",20,1
103,"['across', 'empir', '113', 'howev', ""alexander'"", 'constant', 'demand', 'troop', 'migrat', 'macedonian', 'throughout', 'empir', 'deplet', ""macedon'"", 'strength', 'greatli', 'weaken', 'year', 'alexand', 'ultim']",20,1
104,"['winter', '327/326', 'bc', 'alexand', 'person', 'led', 'campaign', 'aspasioi', 'kunar', 'valley', 'guraean', 'guraeu', 'valley', 'assakenoi', 'swat', 'buner', 'valley', '116', 'fierc', 'contest']",20,1
105,"['fort', 'massaga', 'reduc', 'day', 'bloodi', 'fight', 'alexand', 'wound', 'serious', 'ankl', 'accord', 'curtiu', 'alexand', 'slaughter', 'entir', 'popul', 'massaga', 'also', 'reduc', 'build']",20,1
106,"['rubbl', '117', 'similar', 'slaughter', 'follow', 'ora', 'aftermath', 'massaga', 'ora', 'numer', 'assakenian', 'fled', 'fortress', 'aorno', 'alexand', 'follow', 'close', 'behind', 'captur', 'strateg']",20,1
107,"['east', 'poru', 'kingdom', 'near', 'gang', 'river', 'nanda', 'empir', 'magadha', 'east', 'gangaridai', 'empir', 'bengal', 'region', 'indian', 'subcontin', 'fear', 'prospect', 'face', 'larg']",20,1
108,"['armi', 'exhaust', 'year', 'campaign', ""alexander'"", 'armi', 'mutini', 'hyphasi', 'river', 'bea', 'refus', 'march', 'farther', 'east', '125', 'river', 'thu', 'mark', 'easternmost', 'extent']",20,1
109,"['macedonian', 'howev', 'struggl', 'poru', 'blunt', 'courag', 'stay', 'advanc', 'india', 'could', 'repuls', 'enemi', 'muster', 'twenti', 'thousand', 'infantri', 'two', 'thousand', 'hors', 'violent']",20,1
110,"['oppos', 'alexand', 'insist', 'cross', 'river', 'gang', 'also', 'width', 'learn', 'thirty-two', 'furlong', 'depth', 'hundr', 'fathom', 'bank', 'side', 'cover', 'multitud', 'men-at-arm', 'horsemen']",20,1
111,"['eleph', 'told', 'king', 'ganderit', 'praesii', 'await', 'eighti', 'thousand', 'horsemen', 'two', 'hundr', 'thousand', 'footmen', 'eight', 'thousand', 'chariot', 'six', 'thousand', 'war', 'eleph']",20,1
112,"['alexand', 'tri', 'persuad', 'soldier', 'march', 'farther', 'gener', 'coenu', 'plead', 'chang', 'opinion', 'return', 'men', 'said', 'long', 'see', 'parent', 'wive', 'children', 'homeland']",20,1
113,"['alexand', 'eventu', 'agre', 'turn', 'south', 'march', 'along', 'indu', 'along', 'way', 'armi', 'conquer', 'malhi', 'modern-day', 'multan', 'indian', 'tribe', 'alexand', 'sustain', 'injuri']",20,1
114,"['alexand', 'sent', 'much', 'armi', 'carmania', 'modern', 'southern', 'iran', 'gener', 'crateru', 'commiss', 'fleet', 'explor', 'persian', 'gulf', 'shore', 'admir', 'nearchu', 'led', 'rest']",20,1
115,"['back', 'persia', 'difficult', 'southern', 'rout', 'along', 'gedrosian', 'desert', 'makran', '129', 'alexand', 'reach', 'susa', '324', 'bc', 'lose', 'mani', 'men', 'harsh', 'desert']",20,1
116,"['discov', 'mani', 'satrap', 'militari', 'governor', 'misbehav', 'absenc', 'alexand', 'execut', 'sever', 'exampl', 'way', 'susa', '132', '133', 'gestur', 'thank', 'paid', 'debt', 'soldier']",20,1
117,"['announc', 'would', 'send', 'over-ag', 'disabl', 'veteran', 'back', 'macedon', 'led', 'crateru', 'troop', 'misunderstood', 'intent', 'mutini', 'town', 'opi', 'refus', 'sent', 'away', 'critic']",20,1
118,"['afterward', 'alexand', 'travel', 'ecbatana', 'retriev', 'bulk', 'persian', 'treasur', 'closest', 'friend', 'possibl', 'lover', 'hephaest', 'die', 'ill', 'poison', '138', '139', ""hephaestion'"", 'death']",20,1
119,"['devast', 'alexand', 'order', 'prepar', 'expens', 'funer', 'pyre', 'babylon', 'well', 'decre', 'public', 'mourn', '138', 'back', 'babylon', 'alexand', 'plan', 'seri', 'new', 'campaign']",20,1
120,"['given', 'propens', 'macedonian', 'aristocraci', 'assassin', '145', 'foul', 'play', 'featur', 'multipl', 'account', 'death', 'diodoru', 'plutarch', 'arrian', 'justin', 'mention', 'theori', 'alexand', 'poison']",20,1
121,"['justin', 'state', 'alexand', 'victim', 'poison', 'conspiraci', 'plutarch', 'dismiss', 'fabric', '146', 'diodoru', 'arrian', 'note', 'mention', 'sake', 'complet', '144', '147', 'account', 'nevertheless']",20,1
122,"['fairli', 'consist', 'design', 'antipat', 'recent', 'remov', 'macedonian', 'viceroy', 'odd', 'olympia', 'head', 'alleg', 'plot', 'perhap', 'take', 'summon', 'babylon', 'death', 'sentenc', '148']",20,1
123,"['seen', 'fate', 'parmenion', 'philota', '149', 'antipat', 'purportedli', 'arrang', 'alexand', 'poison', 'son', 'iolla', ""alexander'"", 'wine-pour', '147', '149', 'even', 'suggest', 'aristotl', 'may']",20,1
