,TextoCrudo,TextoLimpio,Clase1,Clase2,Clase3,Clase4,Clase5,Predicción,CLASE
10,"During Caesar's civil war the Parthians made no move, but maintained relations with Pompey. After his defeat and death, a force under Pacorus came to the aid of the Pompeian general Caecilius Bassus, who was besieged at Apamea Valley by the Caesarian forces. With the civil war over, Julius Caesar elaborated plans for a campaign against Parthia, but his assassination averted the war. During the ensuing Liberators' civil war, the Parthians actively supported Brutus and Cassius, sending a contingent which fought with them at the Battle of Philippi in 42 BC.[11]
",,,,,,,,1
11,"After that defeat, the Parthians under Pacorus invaded Roman territory in 40 BC in conjunction with Quintus Labienus, a Roman erstwhile supporter of Brutus and Cassius. They swiftly overran Syria, and defeated Roman forces in the province; all the cities of the coast, with the exception of Tyre admitted the Parthians. Pacorus then advanced into Hasmonean Judea, overthrowing the Roman client Hyrcanus II and installing his nephew Antigonus (40–37 BC) in his place. For a moment, the whole of the Roman East was captured to Parthians. The conclusion of the second Roman civil war was soon to bring about a revival of Roman strength in Western Asia.[2]
",,,,,,,,1
12,"Meanwhile, Mark Antony had already sent Ventidius to oppose Labienus who had invaded Anatolia. Soon Labienius was driven back to Syria by Roman forces, and, though his Parthian allies came to his support, he was defeated, taken prisoner and then put to death. After suffering a further defeat near the Syrian Gates, the Parthians withdrew from Syria. They returned in 38 BC, but were decisively defeated by Ventidius and Pacorus was killed. In Judea, Antigonus was ousted with Roman help by the Idumean Herod in 37 BC.[12]
",,,,,,,,1
13,"With Roman control of Syria and Judaea restored, Mark Antony led a huge army into Caucasian Albania (just east of Armenia), but his siege train and its escort were isolated and wiped out, while his Armenian allies deserted. Failing to make progress against Parthian positions, the Romans withdrew with heavy casualties. In 33 BC Antony was again in Armenia, contracting an alliance with the Median king against both Octavian, and the Parthians, but other preoccupations obliged him to withdraw, and the whole region passed under Parthian control.[13]
",,,,,,,,1
14,"Under the threat of an impending war between the two powers, Gaius Caesar and Phraataces worked out a rough compromise between the two powers in 1 AD. According to the agreement, Parthia undertook to withdraw its forces from Armenia, and to recognize a de facto Roman protectorate over the country. Nonetheless, Roman-Parthian rivalry over control and influence in Armenia continued unabated for the next several decades.[14]
",,,,,,,,1
15,"The decision of the Parthian king Artabanus II to place his son, Arsaces, on the vacant Armenian throne triggered a war with Rome in 36 AD. Artabanus III reached an understanding with the Roman general, Lucius Vitellius, renouncing Parthian claims to a sphere of influence in Armenia.[15] A new crisis was triggered in 58, when the Romans invaded Armenia after the Parthian king Vologases I forcibly installed his brother Tiridates on the throne there.[16] Roman forces under Corbulo overthrew Tiridates and replaced him with a Cappadocian prince. This prompted Parthian retaliation and an inconclusive series of campaigns in Armenia ensued. The war came to an end in 63, when the Romans agreed to allow Tiridates and his descendants to rule Armenia on condition that they received the kingship from the Roman emperor.[17]
",,,,,,,,1
16,"Armenia would henceforth be ruled by a Parthian dynasty, and despite its nominal allegiance to Rome, it would come under increasing Parthian influence. In the judgment of later generations, ""Romans had lost Armenia"",  and although the Peace of Rhandeia ushered in a period of relatively peaceful relations that would last for 50 years, Armenia would continue to be a constant bone of contention between the Romans, the Parthians, and their Sassanid successors.
",,,,,,,,1
17,"As for Corbulo, he was honoured by Nero as the man who had brought this ""triumph"" to be, but his popularity and influence with the army made him a potential rival. Together with the involvement of his son-in-law Lucius Annius Vinicianus in a foiled plot against Nero in 66, Corbulo became suspect in the eyes of the emperor.  In 67, while journeying in Greece, Nero ordered him to be executed; upon hearing of this, Corbulo committed suicide.
",,,,,,,,1
18,"A new series of wars began in the 2nd century, during which the Romans consistently held the upper hand over Parthia. In 113, the Roman Emperor Trajan decided that the moment was ripe to resolve the ""eastern question"" once and for all time by the decisive defeat of Parthia and the annexation of Armenia; his conquests marked a deliberate change of Roman policy towards Parthia, and a shift of emphasis in the ""grand strategy"" of the empire.[3]
",,,,,,,,1
19,"In 114, Trajan invaded Armenia, annexed it as a Roman province, and killed Parthamasiris who was placed on the Armenian throne by his relative, the king of Parthia, Osroes I.[18] In 115, the Roman emperor overran northern Mesopotamia and annexed it to Rome as well; its conquest was deemed necessary, since otherwise the Armenian salient could be cut off by the Parthians from the south.[18] The Romans then captured the Parthian capital, Ctesiphon, before sailing downriver to the Persian Gulf. However, in that year revolts erupted in Eastern Mediterranean, North Africa and northern Mesopotamia, while a major Jewish revolt broke out in Roman territory, severely stretching Roman military resources. Trajan failed to take Hatra, the capital of the Kingdom of Hatra, which avoided total Parthian defeat. Parthian forces attacked key Roman positions and Roman garrisons at Seleucia, Nisibis and Edessa were evicted by the local populaces. Trajan subdued the rebels in Mesopotamia, installed the Parthian prince Parthamaspates as a client ruler, and withdrew to Syria. Trajan died in 117, before he could renew the war.[19] Trajan's Parthian campaign is considered, in different ways, the climax of ""two centuries of political posturing and bitter rivalry.""[20] Trajan was the first emperor to carry out a successful invasion of Mesopotamia. His grand scheme for Armenia and Mesopotamia were ultimately ""cut short by circumstances created by an incorrect understanding of the strategic realities of eastern conquest and an underestimation of what insurgency can do."" [20]
",,,,,,,,1
20,"Trajan's successor, Hadrian, promptly reversed his predecessor's policy. He decided that it was in Rome's interest to re-establish the Euphrates as the limit of its direct control, and willingly returned to the status quo ante, surrendering the territories of Armenia, Mesopotamia, and Adiabene back to their previous rulers and client-kings. Once again, at least for another half century, Rome was to avoid active intervention east of the Euphrates.[19]
",,,,,,,,1
21,"War over Armenia broke out again in 161, when Vologases IV defeated the Romans there, captured Edessa and ravaged Syria. In 163, a Roman counter-attack under Statius Priscus defeated the Parthians in Armenia and installed a favored candidate on the Armenian throne. The following year Avidius Cassius began an invasion of Mesopotamia, winning battles at Dura-Europos and Seleucia and sacking Ctesiphon in 165. An epidemic, possibly of smallpox, which was sweeping Parthia at the time now spread to the Roman army, leading to their withdrawal.[21]
",,,,,,,,1
22,"In 195, another Roman invasion of Mesopotamia began under the Emperor Septimius Severus, who occupied Seleucia and Babylon, and then sacked Ctesiphon yet again in 197. These wars led to the Roman acquisition of northern Mesopotamia, as far as the areas around Nisibis and Singara.[22]  A final war against the Parthians was launched by the emperor Caracalla, who sacked Arbela in 216, but after his assassination, his successor Macrinus fought an inconclusive battle against the Parthians at Nisibis, the last engagement of the Parthian Wars.[23]
",,,,,,,,1
23,"Parthia was finally destroyed by Ardashir I when he entered Ctesiphon in 226. The Sassanids were more centralized than the Parthian dynasties.
Until the Sassanids came to power, the Romans were mostly the aggressors. However, the Sassanids, being Persians, were determined to reconquer lands that the Achaemenid dynasty had once held and now lost. Their nationalistic zeal made them much more aggressive foes of the Romans than the Parthians ever were. For more information, see Byzantine-Sassanid Wars.
",,,,,,,,1
24," Media related to Parthian-Roman wars at Wikimedia Commons
",,,,,,,,1
25,"The Celts (/kɛlts, sɛlts/, see pronunciation of Celt for different usages) are[1] a collection of Indo-European peoples[2] in parts of Europe and Anatolia identified by their use of the Celtic languages and other cultural similarities.[3][4][5][6] The history of pre-Celtic Europe and the exact relationship between ethnic, linguistic and cultural factors in the Celtic world remains uncertain and controversial.[7] The exact geographic spread of the ancient Celts is disputed; in particular, the ways in which the Iron Age inhabitants of Great Britain and Ireland should be regarded as Celts have  become a subject of controversy.[6][7][8][9] According to one theory, the common root of the Celtic languages, the Proto-Celtic language, arose in the Late Bronze Age Urnfield culture of Central Europe, which flourished from around 1200 BC.[10]
",,,,,,,,1
26,"According to another theory proposed in the 19th century, the first people to adopt cultural characteristics regarded as Celtic were the people of the Iron Age Hallstatt culture in central Europe (c. 800–450 BC), named for the rich grave finds in Hallstatt, Austria.[10][11] It is thus that this area is sometimes called the ""Celtic homeland"". By or during the later La Tène period (c. 450 BC to the Roman conquest), named after the La Tène site in Switzerland, this Celtic culture was supposed to have expanded by trans-cultural diffusion or migration to the British Isles (Insular Celts), France and the Low Countries (Gauls), Bohemia, Poland and much of Central Europe, the Iberian Peninsula (Celtiberians, Celtici, Lusitanians and Gallaeci) and northern Italy (Golasecca culture and Cisalpine Gauls)[12] and, following the Celtic settlement of Southeast Europe beginning in 279 BC, as far east as central Anatolia (Galatians) in modern-day Turkey.[13]
",,,,,,,,1
27,"The earliest undisputed direct examples of a Celtic language are the Lepontic inscriptions beginning in the 6th century BC.[14] Continental Celtic languages are attested almost exclusively through inscriptions and place-names. Insular Celtic languages are attested beginning around the 4th century in Ogham inscriptions, although they were clearly being spoken much earlier. Celtic literary tradition begins with Old Irish texts around the 8th century AD. Coherent texts of Early Irish literature, such as the Táin Bó Cúailnge (""Cattle Raid of Cooley""), survive in 12th-century recensions.
",,,,,,,,1
28,"By the mid-1st millennium, with the expansion of the Roman Empire and migrating Germanic tribes, Celtic culture and Insular Celtic languages had become restricted to Ireland, the western and northern parts of Great Britain (Wales, Scotland, and Cornwall), the Isle of Man, and Brittany. Between the 5th and 8th centuries, the Celtic-speaking communities in these Atlantic regions emerged as a reasonably cohesive cultural entity. They had a common linguistic, religious and artistic heritage that distinguished them from the culture of the surrounding polities.[15] By the 6th century, however, the Continental Celtic languages were no longer in wide use.
",,,,,,,,1
29,"Insular Celtic culture diversified into that of the Gaels (Irish, Scottish and Manx) and the Celtic Britons (Welsh, Cornish, and Bretons) of the medieval and modern periods.[3][16][17] A modern Celtic identity was constructed as part of the Romanticist Celtic Revival in Great Britain, Ireland, and other European territories, such as Portugal and Spanish Galicia.[18] Today, Irish, Scottish Gaelic, Welsh, and Breton are still spoken in parts of their historical territories, and Cornish and Manx are undergoing a revival.
",,,,,,,,1
30,"The first recorded use of the name of Celts – as Κελτοί (Keltoi) in Greek – to refer to an ethnic group was by Hecataeus of Miletus, the Greek geographer, in 517 BC,[19] when writing about a people living near Massilia (modern Marseille).[20] In the fifth century BC, Herodotus referred to Keltoi living around the head of the Danube and also in the far west of Europe.[21] The etymology of the term Keltoi is unclear. Possible roots include Indo-European *kʲel 'to hide' (present also in Old Irish ceilid), IE *kʲel 'to heat' or *kel 'to impel'.[22] Several authors have supposed it to be Celtic in origin, while others view it as a name coined by Greeks. Linguist Patrizia De Bernardo Stempel falls in the latter group, and suggests the meaning ""the tall ones"".[23]
",,,,,,,,1
31,"In the 1st century BC, Julius Caesar reported that the people known to the Romans as Gauls (Latin: Galli) called themselves Celts,[24] which suggests that even if the name Keltoi was bestowed by the Greeks, it had been adopted to some extent as a collective name by the tribes of Gaul. The geographer Strabo, writing about Gaul towards the end of the first century BC, refers to the ""race which is now called both Gallic and Galatic,"" though he also uses the term Celtica as a synonym for Gaul, which is separated from Iberia by the Pyrenees. Yet he reports Celtic peoples in Iberia, and also uses the ethnic names Celtiberi and Celtici for peoples there, as distinct from Lusitani and Iberi.[25] Pliny the Elder cited the use of Celtici in Lusitania as a tribal surname,[26] which epigraphic findings have confirmed.[27][28]
",,,,,,,,1
32,"Latin Gallus (pl. Galli) might stem from a Celtic ethnic or tribal name originally, perhaps one borrowed into Latin during the Celtic expansions into Italy during the early fifth century BC. Its root may be the Proto-Celtic *galno, meaning ""power, strength"", hence Old Irish gal ""boldness, ferocity"" and Welsh gallu ""to be able, power"". The tribal names of Gallaeci and the Greek Γαλάται (Galatai, Latinized Galatae; see the region Galatia in Anatolia) most probably have the same origin.[29] The suffix -atai might be an Ancient Greek inflection.[30] Classical writers did not apply the terms Κελτοί (Keltoi) or Celtae to the inhabitants of Britain or Ireland,[6][7][8] which has led to some scholars preferring not to use the term for the Iron Age inhabitants of those islands.[6][7][8][9]
",,,,,,,,1
33,"Celt is a modern English word, first attested in 1707, in the writing of Edward Lhuyd, whose work, along with that of other late 17th-century scholars, brought academic attention to the languages and history of the early Celtic inhabitants of Great Britain.[31] The English form Gaul (first recorded in the 17th century) and Gaulish come from the French Gaule and Gaulois, a borrowing from Frankish *Walholant, ""Roman land"" (see Gaul: Name), the root of which is Proto-Germanic *walha-, ""foreigner, Roman, Celt"", whence the English word Welsh (Old English wælisċ < *walhiska-), South German welsch, meaning ""Celtic speaker"", ""French speaker"" or ""Italian speaker"" in different contexts, and Old Norse valskr, pl. valir, ""Gaulish, French""). Proto-Germanic *walha is derived ultimately from the name of the Volcae,[32] a Celtic tribe who lived first in the south of Germany and in central Europe and then migrated to Gaul.[33] This means that English Gaul, despite its superficial similarity, is not actually derived from Latin Gallia (which should have produced **Jaille in French), though it does refer to the same ancient region.
",,,,,,,,1
34,"Celtic refers to a family of languages and, more generally, means ""of the Celts"" or ""in the style of the Celts"". Several archaeological cultures are considered Celtic in nature, based on unique sets of artefacts. The link between language and artefact is aided by the presence of inscriptions.[34] The relatively modern idea of an identifiable Celtic cultural identity or ""Celticity"" generally focuses on similarities among languages, works of art, and classical texts,[35] and sometimes also among material artefacts, social organisation, homeland and mythology.[36] Earlier theories held that these similarities suggest a common racial origin for the various Celtic peoples, but more recent theories hold that they reflect a common cultural and language heritage more than a genetic one. Celtic cultures seem to have been widely diverse, with the use of a Celtic language being the main thing they had in common.[6]
",,,,,,,,1
35,"Today, the term Celtic generally refers to the languages and respective cultures of Ireland, Scotland, Wales, Cornwall, the Isle of Man, and Brittany, also known as the Celtic nations. These are the regions where four Celtic languages are still spoken to some extent as mother tongues. The four are Irish Gaelic, Scottish Gaelic, Welsh, and Breton; plus two recent revivals, Cornish (one of the Brittonic languages) and Manx (one of the Goidelic languages). There are also attempts to reconstruct Cumbric, a Brittonic language from North West England and South West Scotland. Celtic regions of Continental Europe are those whose residents claim a Celtic heritage, but where no Celtic language has survived; these areas include the western Iberian Peninsula, i.e. Portugal and north-central Spain (Galicia, Asturias, Cantabria, Castile and León, Extremadura).[37]
",,,,,,,,1
36,"Continental Celts are the Celtic-speaking people of mainland Europe and Insular Celts are the Celtic-speaking peoples of the British and Irish islands and their descendants. The Celts of Brittany derive their language from migrating insular Celts, mainly from Wales and Cornwall, and so are grouped accordingly.[38]
",,,,,,,,1
37,"The Celtic languages form a branch of the larger Indo-European family. By the time speakers of Celtic languages entered history around 400 BC, they were already split into several language groups, and spread over much of Western continental Europe, the Iberian Peninsula, Ireland and Britain.
The Greek historian Ephorus of Cyme in Asia Minor, writing in the 4th century BC, believed that the Celts came from the islands off the mouth of the Rhine and were ""driven from their homes by the frequency of wars and the violent rising of the sea"".
",,,,,,,,1
38,"Borders of the region known as Celtica at time of the Roman conquest c. 54 BC; they soon renamed it Gallia Lugdunensis.
",,,,,,,,1
39,"Some scholars think that the Urnfield culture of western Middle Europe represents an origin for the Celts as a distinct cultural branch of the Indo-European family.[10] This culture was preeminent in central Europe during the late Bronze Age, from circa 1200 BC until 700 BC, itself following the Unetice and Tumulus cultures. The Urnfield period saw a dramatic increase in population in the region, probably due to innovations in technology and agriculture.
",,,,,,,,1
40,"The spread of iron-working led to the development of the Hallstatt culture directly from the Urnfield (c. 700 to 500 BC). Proto-Celtic, the latest common ancestor of all known Celtic languages, is considered by this school of thought to have been spoken at the time of the late Urnfield or early Hallstatt cultures, in the early 1st millennium BC. The spread of the Celtic languages to Iberia, Ireland and Britain would have occurred during the first half of the 1st millennium BC, the earliest chariot burials in Britain dating to c. 500 BC. Other scholars see Celtic languages as covering Britain and Ireland, and parts of the Continent, long before any evidence of ""Celtic"" culture is found in archaeology. Over the centuries the language(s) developed into the separate Celtiberian, Goidelic and Brittonic languages.
",,,,,,,,1
41,"The Hallstatt culture was succeeded by the La Tène culture of central Europe, which was overrun by the Roman Empire, though traces of La Tène style are still to be seen in Gallo-Roman artefacts. In Britain and Ireland La Tène style in art survived precariously to re-emerge in Insular art. Early Irish literature casts light on the flavour and tradition of the heroic warrior elites who dominated Celtic societies. Celtic river-names are found in great numbers around the upper reaches of the Danube and Rhine, which led many Celtic scholars to place the ethnogenesis of the Celts in this area.
",,,,,,,,1
42,"Diodorus Siculus and Strabo both suggest that the heartland of the people they called Celts was in southern France. The former says that the Gauls were to the north of the Celts, but that the Romans referred to both as Gauls (in linguistic terms the Gauls were certainly Celts). Before the discoveries at Hallstatt and La Tène, it was generally considered that the Celtic heartland was southern France, see Encyclopædia Britannica for 1813.
",,,,,,,,1
43,"Myles Dillon and Nora Kershaw Chadwick accepted that ""the Celtic settlement of the British Isles"" might have to be dated to the Bell Beaker culture concluding that ""There is no reason why so early a date for the coming of the Celts should be impossible"".[39][40] Martín Almagro Gorbea[41] proposed the origins of the Celts could be traced back to the 3rd millennium BC, also seeking the initial roots in the Beaker period, thus offering the wide dispersion of the Celts throughout western Europe, as well as the variability of the different Celtic peoples, and the existence of ancestral traditions and ancient perspective. Using a multidisciplinary approach, Alberto J. Lorrio and Gonzalo Ruiz Zapatero reviewed and built on Almagro Gorbea's work to present a model for the origin of the Celtic archaeological groups in the Iberian Peninsula (Celtiberian, Vetton, Vaccean, the Castro culture of the northwest, Asturian-Cantabrian and Celtic of the southwest) and proposing a rethinking of the meaning of ""Celtic"" from a European perspective.[42] More recently, John Koch[43] and Barry Cunliffe[44] have suggested that Celtic origins lie with the Atlantic Bronze Age, roughly contemporaneous with the Hallstatt culture but positioned considerably to the West, extending along the Atlantic coast of Europe.
",,,,,,,,1
44,"Stephen Oppenheimer[45] points out that the only written evidence that locates the Keltoi near the source of the Danube (i.e. in the Hallstatt region) is in the Histories of Herodotus. However, Oppenheimer shows that Herodotus seemed to believe the Danube rose near the Pyrenees, which would place the Ancient Celts in a region which is more in agreement with later classical writers and historians (i.e. in Gaul and the Iberian peninsula).
",,,,,,,,1
45,"The Proto-Celtic language is usually dated to the Late Bronze Age.[10] The earliest records of a Celtic language are the Lepontic inscriptions of Cisalpine Gaul (Northern Italy), the oldest of which predate the La Tène period. Other early inscriptions, appearing from the early La Tène period in the area of Massilia, are in Gaulish, which was written in the Greek alphabet until the Roman conquest. Celtiberian inscriptions, using their own Iberian script, appear later, after about 200 BC. Evidence of Insular Celtic is available only from about 400 AD, in the form of Primitive Irish Ogham inscriptions.
",,,,,,,,1
46,"Besides epigraphical evidence, an important source of information on early Celtic is toponymy.[46]
",,,,,,,,1
47,"Historically many scholars postulated that there was genetic evidence of a common origin of the European Atlantic populations i.e.: Orkney Islands, Scottish, Irish, British, Bretons, and Iberians (Basques, Galicians).[47]
",,,,,,,,1
48,"More recent genetic evidence does not support the notion of a significant genetic link between these populations, beyond the fact that they are all West Eurasians. Sardinian-like Neolithic farmers did populate Britain (and all of Northern Europe) during the Neolithic period, however, recent genetics research has claimed that, between 2400BC and 2000BC, over 90% of British DNA was overturned by a North European population of ultimate Russian Steppe origin as part of an ongoing migration process that brought large amounts of Steppe DNA (including the R1b haplogroup) to North and West Europe.[48] Modern autosomal genetic clustering is testament to this fact, as both modern and Iron Age British and Irish samples cluster genetically very closely with other North European populations, and somewhat limited with Galicians, Basques or those from the south of France.[49][50] Such findings have largely put to rest the theory that there is a significant ancestral genetic link (beyond being Europeans) between the various 'Celtic' peoples in the Atlantic area, instead, they are related in that male lines are brother R1b L151 subclades with the local native maternal line admixture explaining the genetic distance noted.
",,,,,,,,1
49,"Before the 19th century, scholars[who?] assumed that the original land of the Celts was west of the Rhine, more precisely in Gaul, because it was where Greek and Roman ancient sources, namely Caesar, located the Celts. This view was challenged by the 19th-century historian Marie Henri d'Arbois de Jubainville[citation needed] who placed the land of origin of the Celts east of the Rhine. Jubainville based his arguments on a phrase of Herodotus' that placed the Celts at the source of the Danube, and argued that Herodotus had meant to place the Celtic homeland in southern Germany.
The finding of the prehistoric cemetery of Hallstat in 1846 by Johan Ramsauer and the finding of the archaeological site of La Tène by Hansli Kopp in 1857 drew attention to this area.
",,,,,,,,1
50,"The concept that the Hallstatt and La Tène cultures could be seen not just as chronological periods but as ""Culture Groups"", entities composed of people of the same ethnicity and language, had started to grow by the end of the 19th century. At the beginning of the 20th century the belief that these ""Culture Groups"" could be thought of in racial or ethnic terms was strongly held by Gordon Childe whose theory was influenced by the writings of Gustaf Kossinna.[51] As the 20th century progressed, the racial ethnic interpretation of La Tène culture became much more strongly rooted, and any findings of La Tène culture and flat inhumation cemeteries were directly associated with the Celts and the Celtic language.[52]
The Iron Age Hallstatt (c. 800–475 BC) and La Tène (c. 500–50 BC) cultures are typically associated with Proto-Celtic and Celtic culture.[53]
",,,,,,,,1
51,"In various[clarification needed] academic disciplines the Celts were considered a Central European Iron Age phenomenon, through the cultures of Hallstatt and La Tène. However, archaeological finds from the Halstatt and La Tène culture were rare in the Iberian Peninsula, in southwestern France, northern and western Britain, southern Ireland and Galatia[55][56] and did not provide enough evidence for a cultural scenario comparable to that of Central Europe. It is considered equally difficult to maintain that the origin of the Peninsular Celts can be linked to the preceding Urnfield culture. This has resulted in a more recent approach that introduces a 'proto-Celtic' substratum and a process of Celticisation, having its initial roots in the Bronze Age Bell Beaker culture.[57]
",,,,,,,,1
52,"The La Tène culture developed and flourished during the late Iron Age (from 450 BC to the Roman conquest in the 1st century BC) in eastern France, Switzerland, Austria, southwest Germany, the Czech Republic, Slovakia and Hungary. It developed out of the Hallstatt culture without any definite cultural break, under the impetus of considerable Mediterranean influence from Greek, and later Etruscan civilisations. A shift of settlement centres took place in the 4th century.
",,,,,,,,1
53,"The western La Tène culture corresponds to historical Celtic Gaul. Whether this means that the whole of La Tène culture can be attributed to a unified Celtic people is difficult to assess; archaeologists have repeatedly concluded that language, material culture, and political affiliation do not necessarily run parallel. Frey notes that in the 5th century, ""burial customs in the Celtic world were not uniform; rather, localised groups had their own beliefs, which, in consequence, also gave rise to distinct artistic expressions"".[58] Thus, while the La Tène culture is certainly associated with the Gauls, the presence of La Tène artefacts may be due to cultural contact and does not imply the permanent presence of Celtic speakers.
",,,,,,,,1
54,"Polybius published a history of Rome about 150 BC in which he describes the Gauls of Italy and their conflict with Rome. Pausanias in the 2nd century AD says that the Gauls ""originally called Celts"", ""live on the remotest region of Europe on the coast of an enormous tidal sea"". Posidonius described the southern Gauls about 100 BC. Though his original work is lost it was used by later writers such as Strabo. The latter, writing in the early 1st century AD, deals with Britain and Gaul as well as Hispania, Italy and Galatia. Caesar wrote extensively about his Gallic Wars in 58–51 BC. Diodorus Siculus wrote about the Celts of Gaul and Britain in his 1st-century history.
",,,,,,,,1
55,"The Romans knew the Celts then living in present-day France as Gauls. The territory of these peoples probably included the Low Countries, the Alps and present-day northern Italy. Julius Caesar in his Gallic Wars described the 1st-century BC descendants of those Gauls.
",,,,,,,,1
56,"Eastern Gaul became the centre of the western La Tène culture. In later Iron Age Gaul, the social organisation resembled that of the Romans, with large towns. From the 3rd century BC the Gauls adopted coinage. Texts with Greek characters from southern Gaul have survived from the 2nd century BC.
",,,,,,,,1
57,"Greek traders founded Massalia about 600 BC, with some objects (mostly drinking ceramics) being traded up the Rhone valley. But trade became disrupted soon after 500 BC and re-oriented over the Alps to the Po valley in the Italian peninsula. The Romans arrived in the Rhone valley in the 2nd century BC and encountered a mostly Celtic-speaking Gaul. Rome wanted land communications with its Iberian provinces and fought a major battle with the Saluvii at Entremont in 124–123 BC. Gradually Roman control extended, and the Roman province of Gallia Transalpina developed along the Mediterranean coast.[59][60] The Romans knew the remainder of Gaul as Gallia Comata – ""Hairy Gaul"".
",,,,,,,,1
58,"In 58 BC the Helvetii planned to migrate westward but Julius Caesar forced them back. He then became involved in fighting the various tribes in Gaul, and by 55 BC had overrun most of Gaul. In 52 BC Vercingetorix led a revolt against the Roman occupation but was defeated at the Siege of Alesia and surrendered.
",,,,,,,,1
59,"Following the Gallic Wars of 58–51 BC, Caesar's Celtica formed the main part of Roman Gaul, becoming the province of Gallia Lugdunensis. This territory of the Celtic tribes was bounded on the south by the Garonne and on the north by the Seine and the Marne.[61] The Romans attached large swathes of this region to neighboring provinces Belgica and Aquitania, particularly under Augustus.
",,,,,,,,1
60,"Place- and personal-name analysis and inscriptions suggest that the Gaulish Celtic language was spoken over most of what is now France.[62][63]
",,,,,,,,1
