,Texto,Clase
100,"['alexand', 'antipat', 'militari', 'polit', 'leader', 'philip', ""ii'"", 'guard', 'charg', 'macedon', ""alexander'"", 'sack', 'thebe', 'ensur', 'greec']",1
101,"['iii', '331', 'bc', 'antipat', 'defeat', 'battl', 'megalopoli', 'antipat', 'refer', 'spartan']",1
102,"['greec', 'period', 'peac', ""alexander'"", 'campaign', 'alexand', 'sent', 'sum', 'conquest', 'trade', 'empir', '113', ""alexander'"", 'demand', 'troop']",1
103,"['death', 'spitamen', 'marriag', 'roxana', 'raoxshna', 'iranian', 'cement', 'satrapi', 'alexand', 'indian', 'subcontin', 'invit', 'chieftain', 'former', 'satrapi']",1
104,"['omphi', 'indian', 'name', 'ambhi', 'ruler', 'taxila', 'kingdom', 'indu', 'hydasp', 'jhelum']",1
105,"['ashvakayana', 'refus', 'submit', 'ambhi', 'hasten']",1
106,[],1
107,[],1
108,"['macedonian', 'king', 'taxil', 'forc', '5,000', 'took', 'battl', 'hydasp', 'victori', 'sent', 'alexand', 'poru', 'indian', 'name', 'puru']",1
109,"['enemi', 'rival', 'reconcil', 'person', 'mediat', 'alexand', 'taxil', 'zealous', 'fleet', 'hydasp']",1
110,"['machata', 'death', 'alexand', '323', 'bc']",1
111,"['winter', '327/326', 'bc', 'alexand', 'person', 'led', 'campaign', 'aspasioi', 'kunar', 'valley', 'guraean', 'guraeu', 'valley', 'assakenoi', 'swat']",1
112,"['wound', 'shoulder', 'dart', 'aspasioi', 'lost', 'alexand', 'face', 'assakenoi', 'fought', 'stronghold']",1
113,"['fort', 'massaga', 'day', 'bloodi', 'fight', 'alexand', 'wound', 'serious', 'ankl', 'curtiu', 'alexand', 'slaughter', 'massaga', 'rubbl', 'similar']",1
114,"['aorno', 'alexand', 'indu', 'fought', 'epic', 'battl', 'king', 'poru', 'rule', 'hydasp', 'acesin', 'chenab', 'punjab', 'battl', 'hydasp']",1
115,"['braveri', 'alli', 'appoint', 'poru', 'satrap', 'ad', 'poru', 'territori', 'land', 'south-east']",1
116,"['bucephala', 'honour', 'hors', 'die', 'nicaea']",1
117,[],1
118,[],1
119,[],1
120,"['poru', 'kingdom', 'gang', 'nanda', 'empir', 'magadha', 'gangaridai', 'empir', 'bengal', 'indian', 'subcontin', 'fear', 'prospect', 'face', 'armi']",1
121,"['macedonian', 'struggl', 'poru', 'blunt', 'courag', 'india', 'repuls', 'enemi', 'muster', 'twenti', 'thousand', 'infantri', 'thousand', 'hors', 'alexand']",1
122,"['depth', 'hundr', 'fathom', 'cover', 'multitud', 'men-at-arm', 'horsemen', 'eleph', 'king', 'ganderit']",1
123,"['alexand', 'tri', 'persuad', 'soldier', 'march', 'farther', 'coenu', 'plead', 'opinion', 'return', 'wive', 'children', 'homeland', 'alexand', 'march']",1
124,"['alexand', 'sent', 'armi', 'carmania', 'modern', 'southern', 'iran', 'crateru', 'commiss', 'fleet', 'explor', 'persian', 'gulf', 'shore', 'admir']",1
125,"['discov', 'satrap', 'militari', 'governor', 'misbehav', 'alexand', 'execut', 'exampl', 'susa', 'gestur', 'thank', 'paid', 'debt', 'soldier', 'announc']",1
126,"['led', 'crateru', 'troop', 'misunderstood', 'mutini', 'opi', 'refus', 'sent', 'persian', 'custom']",1
127,"['day', 'persuad', 'alexand', 'persian', 'command', 'post', 'armi', 'confer', 'macedonian', 'militari', 'titl', 'persian', 'unit', 'macedonian', 'beg']",1
128,"['ate', 'attempt', 'craft', 'harmoni', 'macedonian', 'persian', 'alexand', 'held', 'mass', 'marriag']",1
129,"['tomb', 'cyru', 'pasargada', 'desecr', 'swiftli']",1
130,[],1
131,"['alexand', 'ecbatana', 'retriev', 'persian', 'treasur', 'closest', 'friend', 'possibl', 'hephaest', 'die', 'poison', ""hephaestion'"", 'death', 'alexand', 'order']",1
132,"['june', '323', 'bc', 'alexand', 'die', 'palac', 'nebuchadnezzar', 'ii', 'babylon', 'age', ""alexander'"", 'death', 'death', ""plutarch'"", 'account']",1
133,"['nearchu', 'day', 'drink', 'mediu', 'larissa', 'fever', 'worsen', 'soldier', 'anxiou', 'grant']",1
134,"['unmix', 'wine', 'honour', 'heracl', 'day']",1
135,"['propens', 'macedonian', 'aristocraci', 'assassin', 'foul', 'featur', 'account', 'death', 'diodoru', 'plutarch', 'arrian', 'justin', 'mention', 'theori', 'alexand']",1
136,"['poison', 'conspiraci', 'plutarch', 'dismiss', 'fabric', 'diodoru', 'arrian', 'mention', 'sake', '147']",1
137,"['summon', 'babylon', 'death', 'fate', 'parmenion']",1
138,"['poison', 'theori', 'twelv', 'day', 'death', 'long-act', 'poison', 'probabl', 'avail', '2003', 'bbc', 'documentari', 'investig', 'death', 'alexand']",1
139,"['plant', 'white', 'hellebor', 'veratrum', 'album', 'antiqu', 'poison', 'alexand', '151', '2014']",1
140,"['album', 'produc', 'poison', 'symptom', 'describ']",1
141,[],1
142,[],1
143,"['natur', 'diseas', 'suggest', 'malaria', 'typhoid', 'fever', '1998', 'articl', 'england', 'journal', 'medicin', 'death', 'typhoid', 'fever', 'bowel']",1
144,"['suggest', 'pyogen', 'infecti', 'spondyl', 'mening', 'symptom', 'acut', 'pancreat', 'nile', 'viru']",1
145,"[""alexander'"", 'gold', 'anthropoid', 'sarcophagu', 'honey', 'gold', 'casket', 'aelian', 'seer', 'aristand', 'foretold', 'land', 'alexand', 'happi', 'unvanquish']",1
146,"[""alexander'"", 'corteg', 'macedon', 'ptolemi', 'seiz', 'took', 'temporarili', 'memphi', 'successor', 'ptolemi', 'ii', 'philadelphu', 'transfer', 'sarcophagu', 'alexandria']",1
147,"[""ptolemy'"", 'successor', ""alexander'"", 'sarcophagu', 'glass', 'convert', 'origin', 'coinag', 'recent', 'discoveri']",1
148,"['corteg', 'memori', 'found', 'dearest', 'friend']",1
149,"['pompey', 'juliu', 'caesar', 'augustu', 'tomb', 'alexandria', 'augustu', 'allegedli', 'accident', 'knock', 'nose', 'caligula', ""alexander'"", 'breastplat', 'tomb']",1
150,"['tomb', 'son', 'successor', 'caracalla', 'admir', 'tomb', 'reign', 'fate', 'tomb', 'hazi']",1
151,"['so-cal', 'alexand', 'sarcophagu', 'discov', 'sidon', 'istanbul', 'archaeolog', 'museum', 'name', 'thought', 'contain', ""alexander'"", 'bas-relief', 'depict', 'alexand']",1
152,"['thought', 'sarcophagu', 'abdalonymu', 'die', '311', 'bc', 'king', 'sidon', 'appoint', 'alexand']",1
153,"['demad', 'liken', 'macedonian', 'armi', 'death', 'alexand', 'blind', 'cyclop', 'random', 'disorderli', 'movement', 'leosthen', 'liken', 'anarchi', ""alexander'""]",1
154,"[""alexander'"", 'death', 'death', 'greec', 'alexand', 'legitim', 'heir', 'son', 'alexand', 'iv', 'roxan', 'born', ""alexander'"", 'death', 'diodoru']",1
155,"['kingdom', 'lacon', 'repli', 'tôi', 'kratistôi', 'theori', 'successor', 'wil', 'erron', 'misheard']",1
156,"['arrian', 'plutarch', 'alexand', 'speechless', 'impli', 'apocryph', 'stori', 'diodoru', 'curtiu', 'justin', 'offer', 'plausibl', 'stori', 'alexand', 'signet']",1
157,"['perdicca', 'power', 'suggest', ""roxane'"", 'babi', 'king', 'crateru', 'leonnatu', 'antipat', 'guardian', 'infantri', 'command', 'meleag', 'reject', 'exclud']",1
158,"['reconcil', 'birth', 'alexand', 'iv', 'philip', 'iii', 'appoint', 'joint', 'king', 'albeit']",1
159,"['dissens', 'rivalri', 'afflict', 'macedonian', 'satrapi', 'perdicca', 'partit', 'babylon', 'power', 'base', 'bid', 'power', 'assassin', 'perdicca', '321']",1
160,"['war', 'successor', 'diadochi', 'hellenist', 'power', 'bloc', 'ptolema', 'egypt', 'seleucid', 'mesopotamia']",1
161,"['diodoru', 'state', 'alexand', 'written', 'instruct', 'crateru', 'death', 'crateru', ""alexander'"", 'command', 'successor', 'implement', 'impract', 'extravag', 'nevertheless']",1
162,"['alexand', 'epithet', 'unparallel', 'success', 'militari', 'command', 'lost', 'battl', 'despit', 'typic', 'outnumb', 'terrain', 'phalanx', 'cavalri', 'tactic']",1
163,"['macedonian', 'phalanx', 'arm', 'sarissa', 'spear', 'ft', 'perfect', 'philip', 'ii', 'rigor']",1
164,"['armi', 'languag', 'overcam', 'person', 'battl']",1
165,"['battl', 'granicu', 'alexand', 'forc', 'perhap', '13,000', 'infantri', '5,000', 'cavalri', 'larger', 'persian', 'forc', '40,000', '184', 'alexand']",1
166,"['3', 'km', '1.86', 'mi', 'persian', 'infantri', 'station', 'cavalri', 'ensur', 'alexand']",1
167,"['issu', '333', 'bc', 'dariu', 'deploy', 'phalanx', 'push', 'alexand', 'person', 'led', 'charg', 'rout', 'armi', '186', 'decis']",1
168,"['wheel', 'break', 'phalanx', 'cavalri', 'pike', 'alexand', 'phalanx', 'angl', 'chariot', 'bore']",1
169,"['face', 'oppon', 'unfamiliar', 'fight', 'techniqu', 'india', 'alexand', 'adapt', 'forc', 'oppon', 'style', 'bactria', 'sogdiana', 'alexand', 'success']",1
170,"['mass', 'cavalri', '186', 'india', 'poru', 'eleph', 'corp', 'macedonian', 'envelop', 'eleph']",1
171,"['outward', 'appear', 'alexand', 'best', 'lysippu', 'artist', 'alexand', 'thought', 'peculiar', 'successor', 'friend', 'tri', 'imit', 'name', 'pois']",1
172,"['observ', 'apel', 'paint', 'wielder', 'thunder-bolt', 'reproduc', 'complexion', 'swarthi', 'wherea', 'fair']",1
173,"['mouth', 'flesh', 'garment', 'memoir', 'aristoxenu']",1
174,"['alexand', 'prepossess', 'macedonian', 'stocki', 'tough', 'beard', 'scanti', 'hirsut', 'macedonian', 'baron', 'clean-shaven', 'neck', 'twist', 'appear', 'gaze']",1
175,"['ancient', 'record', 'alexand', 'pleas', 'portrait', 'lysippo', 'forbad', 'sculptor', 'craft', '191', 'lysippo', 'contrapposto', 'sculptur', 'portray', 'alexand']",1
176,"[""alexander'"", 'person', 'trait', 'form', 'huge', 'ambit', 'destini', 'conquer', 'persian', 'empir', 'olympia', 'influenc', 'instil', 'destini', '195']",1
177,"['196', 'father', 'philip', ""alexander'"", 'alexand', 'campaign', 'practic', 'year', 'win', 'victori']",1
178,"['battl', 'alexand', 'worri', 'father', 'brilliant']",1
179,"['plutarch', ""alexander'"", 'trait', 'temper', 'rash', 'impuls', 'natur', 'undoubtedli', 'decis', 'alexand', 'stubborn', 'respond', 'order', 'father', 'debat']",1
180,"['philosophi', 'avid', 'reader', ""aristotle'"", 'tutelag', 'alexand', 'quick', 'ration', 'ampli', 'success']",1
181,"['alexand', 'erudit', 'patron', 'art', 'scienc', '196', 'sport', 'olymp', 'game', 'father', 'seek', 'homer', 'honour', 'timê', 'glori']",1
182,"['year', 'death', 'hephaest', 'alexand', 'exhibit', 'sign', 'megalomania', 'paranoia', 'extraordinari', 'achiev', 'ineff', 'destini', 'flatteri', 'companion', 'produc']",1
183,"['conquer', 'sourc', 'describ', 'boundless', 'ambit', 'epithet', 'descend', 'histor', 'cliché', '207']",1
184,"['appear', 'deiti', 'least', 'sought', 'deifi', 'olympia', 'insist', 'son', 'zeu', 'theori', 'oracl', 'amun', 'siwa', '209', 'identifi']",1
185,"['persian', 'dress', 'custom', 'court', 'proskynesi', 'practic', 'macedonian', 'disapprov', 'loath', 'cost']",1
186,"['king', 'megalomania', 'practic', 'attempt', 'strengthen']",1
187,"['alexand', 'marri', 'roxana', 'daughter', 'sogdian', 'nobleman', 'oxyart', 'bactria', 'love', 'persian', 'princess', 'stateira', 'ii', 'parysati', 'ii']",1
188,"['artaxerx', 'iii', 'polit', '217', '218', 'son', 'alexand', 'iv', 'macedon', 'roxana']",1
189,"['alexand', 'friend', 'bodyguard', 'hephaest', 'son', 'macedonian', 'nobl', '221', ""hephaestion'"", 'death', 'alexand', ""alexander'"", 'fail', 'detach', 'mental']",1
190,"[""alexander'"", 'sexual', 'controversi', 'modern', 'roman', 'writer', 'athenaeu', 'base', 'scholar', 'dicaearchu', ""alexander'"", 'king', 'excess', 'keen', 'alexand']",1
191,"['probabl', 'base', 'sourc', ""alexander'"", 'describ', ""alexander'"", 'hephaest', 'sexual', 'pair', 'compar']",1
192,"['alexand', 'garland', 'tomb', 'achil', 'hephaest']",1
193,[],1
194,[],1
195,"['green', 'argu', 'evid', 'ancient', 'sourc', 'alexand', 'carnal', 'women', 'produc', 'heir', 'ogden', 'alexand', 'impregn', 'partner', 'thrice']",1
196,"['diodoru', 'siculu', 'alexand', 'accumul', 'harem', 'style', 'persian', 'king', 'sparingli', '231', 'show', 'self-control', 'pleasur', 'nevertheless', 'plutarch']",1
197,"['forc', 'green', 'suggest', 'period', 'alexand', 'form', 'friendship', 'women', 'ada', 'caria']",1
198,"[""alexander'"", 'militari', 'conquest', 'campaign', 'contact', 'trade', 'area', 'greek', 'civil', 'influenc', 'found', 'cultur', 'surviv', '21st', 'centuri']",1
199,"[""alexander'"", 'introduct', 'macedonian', 'rule', 'huge', 'swath', 'death', ""alexander'"", 'empir', 'cover', '5,200', '000', 'km2', '2,000', '000']",1
200,"['greek', 'influenc', 'year', 'successor', 'state', 'least', 'forc', 'year', 'refer', 'hellenist']",1
201,"[""alexander'"", 'empir', 'collaps', 'lifetim', 'power', 'northwest', 'indian', 'subcontin', 'power', 'indian', 'dynasti', 'maurya', 'empir', 'power', 'chandragupta']",1
202,"['humbl', 'origin', 'took', 'control', 'punjab', 'power', 'base', 'conquer', 'nanda', 'empir']",1
203,"['conquest', 'alexand', 'found', 'twenti', 'bore', 'name', 'tigri', '106', '237', 'alexandria', 'egypt', 'mediterranean', '106', 'locat', 'reflect']",1
204,"['defens', 'garrison', '106', ""alexander'"", 'death', 'greek', 'tri', 'return', 'greec', '106']",1
205,"['334', 'bc', 'alexand', 'donat', 'fund', 'templ', 'athena', 'polia', 'prien', 'modern-day', 'turkey', '239', '240', 'inscript', 'templ']",1
206,"['alexand', 'templ', 'athena', 'polia', 'inscript', 'independ', 'archaeolog', 'discoveri', 'episod', ""alexander'""]",1
