,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5
28,"['alexand', 'campaign', 'theban', 'athenian', 'rebel', 'alexand', 'hesit', 'thebe', 'decid', 'fight', 'theban', 'resist', 'ineffect', 'alexand', 'raze']",1,720.0,120.0,134.0,228.0,61.0
29,"['ancient', 'writer', 'demosthen', 'alexand', 'margit', 'greek', 'μαργίτης', 'greek', 'word', 'margit', 'describ', 'fool', 'useless', 'account', 'margit']",1,804.0,228.0,180.0,88.0,142.0
30,"['336', 'bc', 'philip', 'ii', 'sent', 'parmenion', 'amynta', 'andromen', 'attalu', 'armi', '10,000', 'anatolia', 'prepar', 'invas', 'free']",1,755.0,361.0,574.0,509.0,727.0
31,"['invas', 'philip', 'ii', ""alexander'"", 'armi', 'hellespont', '334', 'bc', '48,100', 'soldier', '6,100', 'cavalri', 'fleet', 'ship', 'crew']",1,1210.0,871.0,1208.0,994.0,1486.0
32,"['victori', 'persian', 'forc', 'battl', 'granicu', 'alexand', 'surrend', 'persian', 'provinci', 'capit', 'treasuri', 'sardi', 'ionian', 'coast', 'grant']",1,642.0,318.0,354.0,466.0,76.0
33,"['halicarnassu', 'alexand', 'lycia', 'pamphylian', 'plain', 'assert', 'control', 'persian', 'naval', 'base', 'pamphylia', 'coast', 'held', 'port', 'alexand']",1,690.0,233.0,233.0,224.0,159.0
34,"['333', 'bc', 'alexand', 'tauru', 'cilicia', 'paus', 'march', 'syria', 'outmanoeuv', 'dariu', 'larger', 'armi', 'march', 'cilicia', 'defeat']",1,834.0,253.0,226.0,386.0,218.0
35,"['alexand', 'destroy', 'tyre', 'rout', 'egypt', 'capitul', 'alexand', 'met', 'resist', 'gaza', 'stronghold', 'fortifi', 'built', 'hill', 'sieg']",1,654.0,183.0,190.0,180.0,123.0
36,"['alexand', 'egypt', '332', 'bc', 'liber', '0', 'pronounc', 'son', 'deiti', 'amun', 'oracl', 'siwa', 'oasi', 'libyan', '1']",1,811.0,215.0,204.0,250.0,720.0
37,"['egypt', '331', 'bce', 'alexand', 'march', 'eastward', 'achaemenid', 'assyria', 'upper', 'mesopotamia', 'iraq', 'defeat', 'dariu', 'battl', 'gaugamela']",1,602.0,214.0,202.0,299.0,244.0
38,"['babylon', 'alexand', 'susa', 'achaemenid', 'capit', 'captur', 'treasuri', 'sent', 'armi', 'persian', 'capit', 'persepoli', 'persian', 'royal', 'alexand']",1,810.0,289.0,289.0,371.0,64.0
39,"['enter', 'persepoli', 'alexand', 'troop', 'loot', 'day', 'alexand', 'persepoli', 'month', 'fire', 'broke', 'palac', 'xerx', 'possibl', 'drunken']",1,555.0,144.0,234.0,284.0,224.0
40,"['alexand', 'chase', 'dariu', 'parthia', 'persian', 'king', 'control', 'destini', 'prison', 'bessu', 'bactrian', 'satrap', 'kinsman', 'alexand', 'bessu']",1,786.0,305.0,261.0,162.0,76.0
41,"['alexand', 'bessu', 'usurp', 'defeat', 'campaign', 'bessu', 'grand', 'tour', 'alexand', 'found', 'alexandria', 'modern', 'kandahar', 'afghanistan', 'alexandria']",1,713.0,263.0,245.0,260.0,382.0
42,"['329', 'bc', 'spitamen', 'held', 'undefin', 'posit', 'satrapi', 'sogdiana', 'betray', 'bessu', 'ptolemi', ""alexander'"", 'trust', 'companion', 'bessu']",1,499.0,82.0,85.0,91.0,161.0
43,"['alexand', 'element', 'persian', 'dress', 'custom', 'court', 'custom', 'proskynesi', 'kiss', 'prostrat', 'persian', 'show', 'social', 'greek', 'gestur']",1,622.0,224.0,176.0,115.0,161.0
44,"['plot', 'reveal', 'offic', 'philota', 'execut', 'fail', 'alert', 'alexand', 'death', 'son', 'necessit', 'death', 'father', 'parmenion', 'charg']",1,492.0,356.0,343.0,213.0,94.0
45,"['asian', 'campaign', 'plot', 'reveal', 'instig', 'royal', 'page', 'offici', 'historian', 'callisthen', 'olynthu', 'implic', 'plot', 'anabasi', 'alexand']",1,392.0,178.0,244.0,233.0,81.0
46,"['alexand', 'antipat', 'militari', 'polit', 'leader', 'philip', ""ii'"", 'guard', 'charg', 'macedon', ""alexander'"", 'sack', 'thebe', 'ensur', 'greec']",1,670.0,348.0,504.0,390.0,86.0
47,"['greec', 'period', 'peac', ""alexander'"", 'campaign', 'alexand', 'sent', 'sum', 'conquest', 'trade', 'empir', '113', ""alexander'"", 'demand', 'troop']",1,834.0,657.0,455.0,467.0,358.0
48,"['death', 'spitamen', 'marriag', 'roxana', 'raoxshna', 'iranian', 'cement', 'satrapi', 'alexand', 'indian', 'subcontin', 'invit', 'chieftain', 'former', 'satrapi']",1,365.0,156.0,202.0,123.0,78.0
49,"['macedonian', 'king', 'taxil', 'forc', '5,000', 'took', 'battl', 'hydasp', 'victori', 'sent', 'alexand', 'poru', 'indian', 'name', 'puru']",1,1115.0,1053.0,1174.0,974.0,994.0
50,"['winter', '327/326', 'bc', 'alexand', 'person', 'led', 'campaign', 'aspasioi', 'kunar', 'valley', 'guraean', 'guraeu', 'valley', 'assakenoi', 'swat']",1,715.0,176.0,183.0,215.0,331.0
51,"['fort', 'massaga', 'day', 'bloodi', 'fight', 'alexand', 'wound', 'serious', 'ankl', 'curtiu', 'alexand', 'slaughter', 'massaga', 'rubbl', 'similar']",1,500.0,97.0,133.0,173.0,116.0
52,"['aorno', 'alexand', 'indu', 'fought', 'epic', 'battl', 'king', 'poru', 'rule', 'hydasp', 'acesin', 'chenab', 'punjab', 'battl', 'hydasp']",1,593.0,465.0,404.0,330.0,154.0
53,"['poru', 'kingdom', 'gang', 'nanda', 'empir', 'magadha', 'gangaridai', 'empir', 'bengal', 'indian', 'subcontin', 'fear', 'prospect', 'face', 'armi']",1,520.0,734.0,404.0,417.0,110.0
54,"['macedonian', 'struggl', 'poru', 'blunt', 'courag', 'india', 'repuls', 'enemi', 'muster', 'twenti', 'thousand', 'infantri', 'thousand', 'hors', 'alexand']",1,353.0,103.0,108.0,146.0,138.0
55,"['alexand', 'tri', 'persuad', 'soldier', 'march', 'farther', 'coenu', 'plead', 'opinion', 'return', 'wive', 'children', 'homeland', 'alexand', 'march']",1,582.0,191.0,244.0,284.0,92.0
56,"['alexand', 'sent', 'armi', 'carmania', 'modern', 'southern', 'iran', 'crateru', 'commiss', 'fleet', 'explor', 'persian', 'gulf', 'shore', 'admir']",1,521.0,289.0,409.0,314.0,278.0
57,"['discov', 'satrap', 'militari', 'governor', 'misbehav', 'alexand', 'execut', 'exampl', 'susa', 'gestur', 'thank', 'paid', 'debt', 'soldier', 'announc']",1,443.0,171.0,220.0,279.0,138.0
58,"['day', 'persuad', 'alexand', 'persian', 'command', 'post', 'armi', 'confer', 'macedonian', 'militari', 'titl', 'persian', 'unit', 'macedonian', 'beg']",1,708.0,355.0,304.0,650.0,84.0
59,"['alexand', 'ecbatana', 'retriev', 'persian', 'treasur', 'closest', 'friend', 'possibl', 'hephaest', 'die', 'poison', ""hephaestion'"", 'death', 'alexand', 'order']",1,656.0,244.0,237.0,192.0,169.0
60,"['june', '323', 'bc', 'alexand', 'die', 'palac', 'nebuchadnezzar', 'ii', 'babylon', 'age', ""alexander'"", 'death', 'death', ""plutarch'"", 'account']",1,987.0,445.0,440.0,251.0,429.0
61,"['propens', 'macedonian', 'aristocraci', 'assassin', 'foul', 'featur', 'account', 'death', 'diodoru', 'plutarch', 'arrian', 'justin', 'mention', 'theori', 'alexand']",1,467.0,199.0,159.0,122.0,113.0
62,"['poison', 'theori', 'twelv', 'day', 'death', 'long-act', 'poison', 'probabl', 'avail', '2003', 'bbc', 'documentari', 'investig', 'death', 'alexand']",1,458.0,264.0,254.0,213.0,166.0
63,"['natur', 'diseas', 'suggest', 'malaria', 'typhoid', 'fever', '1998', 'articl', 'england', 'journal', 'medicin', 'death', 'typhoid', 'fever', 'bowel']",1,191.0,264.0,261.0,112.0,227.0
64,"[""alexander'"", 'gold', 'anthropoid', 'sarcophagu', 'honey', 'gold', 'casket', 'aelian', 'seer', 'aristand', 'foretold', 'land', 'alexand', 'happi', 'unvanquish']",1,385.0,149.0,149.0,77.0,75.0
65,"[""alexander'"", 'corteg', 'macedon', 'ptolemi', 'seiz', 'took', 'temporarili', 'memphi', 'successor', 'ptolemi', 'ii', 'philadelphu', 'transfer', 'sarcophagu', 'alexandria']",1,315.0,182.0,200.0,124.0,37.0
66,"['pompey', 'juliu', 'caesar', 'augustu', 'tomb', 'alexandria', 'augustu', 'allegedli', 'accident', 'knock', 'nose', 'caligula', ""alexander'"", 'breastplat', 'tomb']",1,420.0,44.0,46.0,41.0,29.0
67,"['so-cal', 'alexand', 'sarcophagu', 'discov', 'sidon', 'istanbul', 'archaeolog', 'museum', 'name', 'thought', 'contain', ""alexander'"", 'bas-relief', 'depict', 'alexand']",1,659.0,172.0,178.0,98.0,341.0
68,"['demad', 'liken', 'macedonian', 'armi', 'death', 'alexand', 'blind', 'cyclop', 'random', 'disorderli', 'movement', 'leosthen', 'liken', 'anarchi', ""alexander'""]",1,456.0,214.0,180.0,280.0,47.0
69,"[""alexander'"", 'death', 'death', 'greec', 'alexand', 'legitim', 'heir', 'son', 'alexand', 'iv', 'roxan', 'born', ""alexander'"", 'death', 'diodoru']",1,813.0,423.0,389.0,207.0,89.0
70,"['arrian', 'plutarch', 'alexand', 'speechless', 'impli', 'apocryph', 'stori', 'diodoru', 'curtiu', 'justin', 'offer', 'plausibl', 'stori', 'alexand', 'signet']",1,522.0,73.0,64.0,68.0,71.0
71,"['perdicca', 'power', 'suggest', ""roxane'"", 'babi', 'king', 'crateru', 'leonnatu', 'antipat', 'guardian', 'infantri', 'command', 'meleag', 'reject', 'exclud']",1,423.0,369.0,365.0,288.0,146.0
72,"['dissens', 'rivalri', 'afflict', 'macedonian', 'satrapi', 'perdicca', 'partit', 'babylon', 'power', 'base', 'bid', 'power', 'assassin', 'perdicca', '321']",1,411.0,281.0,234.0,346.0,99.0
73,"['diodoru', 'state', 'alexand', 'written', 'instruct', 'crateru', 'death', 'crateru', ""alexander'"", 'command', 'successor', 'implement', 'impract', 'extravag', 'nevertheless']",1,526.0,280.0,248.0,351.0,101.0
74,"['alexand', 'epithet', 'unparallel', 'success', 'militari', 'command', 'lost', 'battl', 'despit', 'typic', 'outnumb', 'terrain', 'phalanx', 'cavalri', 'tactic']",1,545.0,331.0,348.0,467.0,104.0
75,"['battl', 'granicu', 'alexand', 'forc', 'perhap', '13,000', 'infantri', '5,000', 'cavalri', 'larger', 'persian', 'forc', '40,000', '184', 'alexand']",1,1349.0,945.0,1100.0,1363.0,1962.0
76,"['issu', '333', 'bc', 'dariu', 'deploy', 'phalanx', 'push', 'alexand', 'person', 'led', 'charg', 'rout', 'armi', '186', 'decis']",1,771.0,295.0,326.0,413.0,256.0
77,"['face', 'oppon', 'unfamiliar', 'fight', 'techniqu', 'india', 'alexand', 'adapt', 'forc', 'oppon', 'style', 'bactria', 'sogdiana', 'alexand', 'success']",1,628.0,244.0,327.0,398.0,198.0
78,"['outward', 'appear', 'alexand', 'best', 'lysippu', 'artist', 'alexand', 'thought', 'peculiar', 'successor', 'friend', 'tri', 'imit', 'name', 'pois']",1,600.0,234.0,235.0,132.0,269.0
79,"['alexand', 'prepossess', 'macedonian', 'stocki', 'tough', 'beard', 'scanti', 'hirsut', 'macedonian', 'baron', 'clean-shaven', 'neck', 'twist', 'appear', 'gaze']",1,313.0,105.0,53.0,43.0,122.0
80,"['ancient', 'record', 'alexand', 'pleas', 'portrait', 'lysippo', 'forbad', 'sculptor', 'craft', '191', 'lysippo', 'contrapposto', 'sculptur', 'portray', 'alexand']",1,639.0,88.0,119.0,56.0,153.0
81,"[""alexander'"", 'person', 'trait', 'form', 'huge', 'ambit', 'destini', 'conquer', 'persian', 'empir', 'olympia', 'influenc', 'instil', 'destini', '195']",1,491.0,469.0,241.0,213.0,151.0
82,"['plutarch', ""alexander'"", 'trait', 'temper', 'rash', 'impuls', 'natur', 'undoubtedli', 'decis', 'alexand', 'stubborn', 'respond', 'order', 'father', 'debat']",1,408.0,149.0,181.0,157.0,140.0
83,"['alexand', 'erudit', 'patron', 'art', 'scienc', '196', 'sport', 'olymp', 'game', 'father', 'seek', 'homer', 'honour', 'timê', 'glori']",1,350.0,136.0,177.0,83.0,124.0
84,"['year', 'death', 'hephaest', 'alexand', 'exhibit', 'sign', 'megalomania', 'paranoia', 'extraordinari', 'achiev', 'ineff', 'destini', 'flatteri', 'companion', 'produc']",1,453.0,250.0,284.0,207.0,406.0
85,"['appear', 'deiti', 'least', 'sought', 'deifi', 'olympia', 'insist', 'son', 'zeu', 'theori', 'oracl', 'amun', 'siwa', '209', 'identifi']",1,200.0,211.0,167.0,84.0,222.0
86,"['alexand', 'marri', 'roxana', 'daughter', 'sogdian', 'nobleman', 'oxyart', 'bactria', 'love', 'persian', 'princess', 'stateira', 'ii', 'parysati', 'ii']",1,531.0,249.0,295.0,132.0,47.0
87,"['alexand', 'friend', 'bodyguard', 'hephaest', 'son', 'macedonian', 'nobl', '221', ""hephaestion'"", 'death', 'alexand', ""alexander'"", 'fail', 'detach', 'mental']",1,635.0,261.0,218.0,144.0,66.0
88,"[""alexander'"", 'sexual', 'controversi', 'modern', 'roman', 'writer', 'athenaeu', 'base', 'scholar', 'dicaearchu', ""alexander'"", 'king', 'excess', 'keen', 'alexand']",1,1029.0,495.0,409.0,128.0,314.0
89,"['green', 'argu', 'evid', 'ancient', 'sourc', 'alexand', 'carnal', 'women', 'produc', 'heir', 'ogden', 'alexand', 'impregn', 'partner', 'thrice']",1,733.0,193.0,192.0,168.0,381.0
90,"['diodoru', 'siculu', 'alexand', 'accumul', 'harem', 'style', 'persian', 'king', 'sparingli', '231', 'show', 'self-control', 'pleasur', 'nevertheless', 'plutarch']",1,515.0,276.0,275.0,78.0,116.0
91,"[""alexander'"", 'militari', 'conquest', 'campaign', 'contact', 'trade', 'area', 'greek', 'civil', 'influenc', 'found', 'cultur', 'surviv', '21st', 'centuri']",1,1010.0,966.0,541.0,431.0,719.0
92,"[""alexander'"", 'introduct', 'macedonian', 'rule', 'huge', 'swath', 'death', ""alexander'"", 'empir', 'cover', '5,200', '000', 'km2', '2,000', '000']",1,1228.0,1431.0,1363.0,1133.0,1841.0
93,"[""alexander'"", 'empir', 'collaps', 'lifetim', 'power', 'northwest', 'indian', 'subcontin', 'power', 'indian', 'dynasti', 'maurya', 'empir', 'power', 'chandragupta']",1,853.0,900.0,574.0,615.0,177.0
94,"['conquest', 'alexand', 'found', 'twenti', 'bore', 'name', 'tigri', '106', '237', 'alexandria', 'egypt', 'mediterranean', '106', 'locat', 'reflect']",1,633.0,311.0,217.0,122.0,338.0
95,"['334', 'bc', 'alexand', 'donat', 'fund', 'templ', 'athena', 'polia', 'prien', 'modern-day', 'turkey', '239', '240', 'inscript', 'templ']",1,763.0,47.0,50.0,64.0,205.0
96,"['hellen', 'coin', 'german', 'historian', 'johann', 'gustav', 'droysen', 'denot', 'greek', 'languag', 'cultur', 'former', 'persian', 'empir', ""alexander'""]",1,738.0,641.0,288.0,389.0,335.0
97,"['core', 'hellenist', 'cultur', 'promulg', 'conquest', 'athenian', '247', 'associ', 'greec', ""alexander'"", 'armi', 'led', 'attic-bas', 'koin', 'greek']",1,603.0,427.0,252.0,335.0,372.0
98,"['pronounc', 'hellen', 'afghanistan', 'india', 'late-ris', 'greco-bactrian', 'kingdom', '250', 'bc', 'modern', 'afghanistan', 'pakistan', 'tajikistan', 'indo-greek', 'kingdom']",1,579.0,260.0,213.0,161.0,468.0
99,"['portray', 'buddha', 'appear', 'perhap', 'greek', 'apollo', 'greco-buddhist', 'style', '250', 'buddhist', 'tradit', 'influenc', 'ancient', 'greek', 'religion']",1,689.0,365.0,256.0,125.0,308.0
100,"['conquest', 'alexand', 'hellenist', 'influenc', 'indian', 'art', 'far-rang', 'area', 'architectur', 'exampl', 'ionic', 'order', 'found', 'pakistan', 'jandial']",1,592.0,390.0,286.0,228.0,474.0
101,"['alexand', 'admir', 'roman', 'want', 'associ', 'achiev', '258', 'polybiu', 'roman', ""alexander'"", 'achiev', 'roman', 'leader', 'pompey', 'epithet']",1,1681.0,577.0,269.0,198.0,107.0
102,"['roman', 'writer', 'republican', 'alexand', 'cautionari', 'tale', 'autocrat', 'tendenc', 'kept', 'check', 'republican', '260', 'alexand', 'writer', 'exampl']",1,940.0,247.0,183.0,122.0,109.0
103,"['pausania', 'write', 'alexand', 'want', 'dig', 'mima', 'today', 'karaburun', 'area', 'succeed', 'mention', 'unsuccess', 'alexand', '262', 'plini']",1,549.0,161.0,121.0,150.0,166.0
104,"['arrian', 'wrote', 'aristobulu', 'icaru', 'modern', 'failaka', 'persian', 'gulf', 'name', 'alexand', 'order', 'name', 'icaru', 'aegean', 'sea']",1,574.0,348.0,299.0,168.0,396.0
105,"['legendari', 'account', 'alexand', 'deriv', 'lifetim', 'probabl', 'alexand', '267', 'court', 'historian', 'callisthen', 'portray', 'sea', 'cilicia', 'proskynesi']",1,618.0,228.0,223.0,149.0,143.0
106,"['centuri', ""alexander'"", 'death', 'probabl', 'alexandria', 'quantiti', 'legendari', 'materi', 'coalesc', 'text', 'alexand', 'romanc', 'ascrib', 'callisthen', 'therefor']",1,622.0,501.0,291.0,129.0,168.0
107,"['alexand', ""great'"", 'depict', 'cultur', 'alexand', 'cultur', 'day', 'alexand', 'romanc', 'impact', 'portray', 'alexand', 'cultur', 'persian', 'mediev']",1,1295.0,416.0,274.0,215.0,736.0
108,"['alexand', 'featur', 'modern', 'greek', 'folklor', 'ancient', '271', 'colloqui', 'form', 'name', 'modern', 'greek', 'megalexandro', 'household', 'name']",1,1003.0,476.0,351.0,178.0,690.0
109,"['pre-islam', 'middl', 'persian', 'zoroastrian', 'literatur', 'alexand', 'refer', 'epithet', 'gujastak', 'accurs', 'accus', 'destroy', 'templ', 'burn', 'sacr']",1,493.0,211.0,107.0,99.0,218.0
110,"['dhul-qarnayn', 'liter', 'two-horn', 'mention', 'quran', 'scholar', 'base', 'alexand', '273', 'tradit', 'heroic', 'built', 'wall', 'defend', 'nation']",1,425.0,236.0,184.0,229.0,179.0
111,"['syriac', 'alexand', 'romanc', 'portray', 'christian', 'conqueror', 'pray', 'true', 'god', '273', 'egypt', 'alexand', 'portray', 'son', 'nectanebo']",1,674.0,362.0,189.0,110.0,88.0
112,"['josephu', 'alexand', 'shown', 'daniel', 'enter', 'jerusalem', 'describ', 'mighti', 'greek', 'king', 'conquer', 'persian', 'empir', 'spare', 'jerusalem']",1,854.0,707.0,422.0,185.0,119.0
113,"['hindi', 'urdu', 'name', 'sikandar', 'deriv', 'persian', 'name', 'alexand', 'denot', 'talent', 'delhi', 'sultan', 'ruler', 'aladdin', 'khajli']",1,483.0,278.0,197.0,78.0,181.0
114,"['cultur', 'british', 'metal', 'band', 'iron', 'maiden', 'titl', 'alexand', '1986', 'album', 'somewher', 'written', 'bass', 'player', 'steve']",1,461.0,190.0,155.0,226.0,345.0
115,"['inscript', 'fragment', 'text', 'written', 'alexand', 'gather', 'alexand', 'lost', 'wrote', 'account', ""alexander'"", 'campaign', 'historian', 'callisthen', ""alexander'""]",1,788.0,259.0,199.0,226.0,156.0
116,"['scienc', 'classic', 'antiqu', 'encompass', 'inquiri', 'work', 'aim', 'practic', 'goal', 'establish', 'cure', 'varieti', 'investig', 'natur', 'philosophi']",1,269.0,248.0,359.0,185.0,231.0
117,"['practic', 'ancient', 'greek', 'establish', 'exemplifi', 'work', 'day', 'greek', 'poet', 'hesiod', 'bc', 'work', 'day', 'farmer', 'season']",1,1094.0,386.0,443.0,274.0,436.0
118,"['medicin', 'exampl', 'practic', 'investig', 'natur', 'ancient', 'greek', 'greek', 'medicin', 'profess', 'qualif', 'licens', 'hippocrat', 'tradit', 'templ']",1,714.0,268.0,229.0,86.0,286.0
119,"['acut', 'observ', 'natur', 'phenomena', 'aristotl', 'theophrastu', 'wrote', 'anim', 'plant', 'theophrastu', 'produc', 'attempt', 'classifi', 'miner', 'rock']",1,220.0,116.0,190.0,128.0,332.0
120,"['earliest', 'greek', 'philosoph', 'pre-socrat', 'materialist', 'found', 'order', 'cosmo', 'attitud', 'markedli', 'writer', 'aristotl', 'tend', 'materi', 'sourc']",1,454.0,289.0,195.0,146.0,359.0
121,"['thale', 'miletu', '624', '546', 'bc', 'came', 'find', 'susten', 'water', 'anaximand', '610', '546', 'bc', 'suggest', 'substanc']",1,827.0,103.0,111.0,66.0,459.0
122,"['heraclitu', 'ephesu', '535', '475', 'bc', 'substanc', 'fundament', 'element', 'fire', 'empedocl', 'acraga', '490', '430', 'bc', 'assert']",1,718.0,59.0,67.0,46.0,361.0
123,"['theori', 'impli', 'substanc', 'greek', 'philosoph', 'leucippu', '5th', 'centuri', 'bc', 'democritu', 'abdera', '410', 'bc', 'came', 'notion']",1,1067.0,473.0,290.0,94.0,425.0
124,"['pythagora', '582', '507', 'bc', 'fundament', 'unchang', 'underli', 'pythagora', 'order', 'atom', 'geometr', 'triangl', 'squar', 'rectangl', 'larger']",1,418.0,79.0,90.0,109.0,215.0
125,"['pythagorean', 'plato', 'c', '427', 'c', '347', 'bc', 'found', 'order', 'mathemat', 'geometri', 'account', 'plato', 'inscrib', 'entranc']",1,627.0,185.0,165.0,112.0,520.0
126,"['plato', 'philosoph', 'scientif', 'scientif', 'concept', 'materi', 'imperfect', 'reflect', 'etern', 'unchang', 'idea', 'mathemat', 'diagram', 'reflect', 'etern']",1,145.0,103.0,245.0,86.0,127.0
